Kreyol|French|English|Spanish
Sitou moun Lagonav, se batiman yo moute.|Les habitants de La Gonâve en particulier prennent souvent le ferry.|People from Lagonav especially like to ride on it.|empty
Gen timoun ki renmen moute batiman.|Il y a des enfants qui aiment voyager en ferry.|Some children enjoy riding on the ferry.|empty
Yo itilize batiman pou y ale plizyè kote tankou : Akayè, Senmak ak Karyès.|On l’utilise pour aller dans différents endroits comme Arcahaie, Saint-Marc et Carries.|We use it to go to different places such as Akayè, Senmak, and Karyès.|empty
Lè se jou vwayaj, gen batiman ki konn rive avan lòt.|Les jours de voyage, certains ferrys arrivent au quai avant d’autres.|On trip days, some ferries arrive at the dock before others.|empty
Lè machann yo pral Senmak oubyen Akayè, yo konn pote tout kalite machandiz tankou chabon ak zoranj.|Lorsque les ferrys vont à Saint-Marc ou à Arcahaie, les marchands transportent toute une variété de marchandises telles que du charbon et des oranges.|When the ferries are going to Senmak or Akayè, vendors carry a variety of merchandise such as charcoal and oranges.|empty
Moun toujou pote lòt bagay nan batiman, tankou : sitwon, pistach ak lòt pwodui.|Les ferrys transportent aussi plein d’autres choses, comme des citrons, des cacahuètes et d’autres produits.|Ferries always carry many other things as well, such as lemons, peanuts and other products.|empty
Batiman konn pote ti vwalye moun konn peche pwason.|Les ferrys peuvent transporter de petits bateaux à voile sur le pont inférieur du navire.|Ferries may carry small sailboats on the lower deck of the boat.|empty
Ti vwalye sa yo ale nan pati an ba batiman an.|Les gens les utilisent pour la pêche.|People use them to fish.|empty
Yo konn pote machin ak moto nan batiman tou.|Les ferrys peuvent aussi transporter des voitures et des motocyclettes.|Ferries may also carry cars and motorcycles.|empty
Yo konn pote yo pou al vann oubyen repare.|On les transporte soit pour les vendre ou les réparer.|They carry them across to sell or repair.|empty
Gen kèk bèt batiman konn pote tou tankou kabrit ak kochon.|Les ferrys peuvent aussi transporter des animaux comme des chèvres et des cochons.|The ferries may also carry some animals such as goats and pigs.|empty
Kabrit yo konn fè anpil bri.|Les chèvres font souvent beaucoup de bruit.|The goats often make a lot of noise.|empty
Kon sa gen nan yo ki konn mouri tou nan vwayaj la.|Il y en a parfois qui meurent pendant le trajet.|Some of them can die during the trip.|empty
Lè batiman ap pase nan fon lanmè, yo konn pran gwo sekous lanmè.|Quand un ferry navigue en haute mer, de grosses vagues peuvent le secouer violemment.|When a ferry is sailing in deep waters, big waves can rock it violently.|empty
Lè gen gwo van, dlo mouye tout sa k ladan.|Quand les vents sont forts, de l’eau entre à l’intérieur et mouille tout ce qui s‘y trouve.|When there are strong winds, water splashes in and gets everything inside wet.|empty
Menm bekàn ki an ba bato a, moun konn pa wè yo ankò.|Parfois, on ne voit même plus les vélos en-dessous.|Sometimes, we cannot even see the bikes below.|empty
Ata ti machin jwèt yo konn mouye tou.|Même les voitures miniatures sont parfois mouillées.|Even the toy cars sometimes get wet.|empty
Lè pasajè yo prèske rive, yo konn moute sou tèt batiman an pou yo gade atè.|Lorsque les passagers se rapprochent de larive, ils montent sur le pont supérieur pour voir la terre.|When passengers are getting close to the shore, they go to the upper deck to view the land.|empty
Tout pasajè kontan paske yo chape an ba move lanmè.|Tous les passagers sont heureux car ils ont survécu à la mer agitée.|All the passengers are happy because they survived the stormy sea.|empty
Ti kochon k ap chante.|Le petit cochon chante|Little Pig Is Singing|empty
Vwala se te yon ti kochon ki te chita sou yon tonm.|Il était une fois un petit cochon qui était assis sur une tombe.|Once upon a time there was a little pig that was sitting on a tomb.|empty
Tout moun ki t ap pase te pè.|Tous ceux qui passaient par là avaient puer.|Everyone who was passing by was frightened.|empty
Mwen menm, mwen te ak Kennchelov ak Palanj.|Moi, j’étais avec Kennchelov et Palanj.|I was with Kennchelov and Palanj.|empty
Nou t ap pase, nou pa t wè ti kochon an.|Nous sommes passés sans voir le petit cochon.|We were passing by and didn’t see the little pig.|empty
Nou tande yon bri.|Nous avons entendu un bruit.|We heard a sound.|empty
Nou vire gade epi nou wè se te kochon an ki t ap chante sou tonm nan !|Nous nous sommes retournés et nous avons vu que c’était le cochon qui chantait sur la tombe !|We turned around to look and we saw it was the pig singing on the tomb!|empty
Nou te kouri pase, n al di papa nou nou wè yon ti kochon k ap chante sou yon tonm.|Nous sommes partis en courant pour aller dire à papa que nous avions vu un petit cochon chanter sur une tombe.|We ran past to go tell our father that we saw a little pig singing on a tomb.|empty
Papa m ale ak yon manchèt, li touye ti kochon an.|Papa partit avec une machette et tua le petit cochon.|My father went with a machete and killed the little pig.|empty
Nou kòche ti kochon an.|Nous avons coupé le petit cochon en morceaux.|We cut up the little pig.|empty
Nou kuit li. #### Nou manje l.|Nous l’avons cuit et nous l’avons mangé.|We cooked it. #### We ate it.|empty
Depi lè sa a, nou toujou tande ti kochon an k ap rele : « Wen, wen » nan vant tout moun nan kay la.|Depuis ce jour, on entend le petit cochon crier « Ouin, ouin » dans le ventre de tous ceux qui habitent la maison.|Since that time, we always hear that little pig shouting, “Oink, oink,” in the stomachs of everyone in the house.|empty
Kesyon pou diskisyon|Questions de discussion|Discussion Questions|empty
Nòt pou pwofesè : Li kesyon sa yo epi deside kiyès nan yo ou vle diskite ak klas ou.|Note aux enseignants : Lisez les questions suivantes et choisissez celles que vous voulez discuter dans votre classe.|Note to teachers: Read the following questions and decide which ones to discuss with your class.|empty
1. Ki sa ki te pase nan istwa a ?|1. Que se passe-t-il dans cette histoire ?|1. What happened in the story?|empty
2. Dekri chak pèsonaj ki nan istwa a. Kiyès ladan yo ou pi renmen ? Pou ki sa ?|2. Décrivez chaque personnage. Quel est votre personnage préféré ? Pourquoi ?|2. Describe each character. Who is your favorite character? Why?|empty
3. Èske istwa sa a aprann ou yon leson ? Si se wi, ki leson ?|3. Y a-t-il une leçon à tirer de cette histoire ? Si oui, laquelle ?|3. Does the story teach a lesson? If so, what is the lesson?|empty
4. Èske gen yon bagay nan istwa sa a ki fè w sonje yon bagay ki te pase nan lavi w ?|4. Y a-t-il quelque chose dans cette histoire qui vous fait penser à votre vie personnelle ?|4. Does anything in the story remind you of your own life?|empty
5. Èske gen yon pwoblèm ki prezante nan istwa sa a ? Kòman pwoblèm nan rezoud ? Èske gen yon lòt jan pou rezoud pwoblèm sa a ?|5. Y a-t-il un problème dans cette histoire ? Comment est-il résolu ? Y aurait-il un autre moyen de le résoudre ?|5. Is there a problem in this story? How does the problem get solved? Is there another way to solve it?|empty
6. Èske gen vyolans nan istwa sa a ? Si genyen, èske gen yon lòt jan pou rezoud pwoblèm nan san vyolans ?|6. Y a-t-il de la violence dans cette histoire ? Si oui, y aurait-il un autre moyen de résoudre le problème sans utiliser la violence ?|6. Is there any violence in this story? If so, is there another way to solve the problem without using violence?|empty
7. Èske istwa sa a fè w sonje yon lòt istwa ou konnen ?|7. Cette histoire vous fait-elle penser à une autre histoire ?|7. Does this story remind you of another story?|empty
8. Ki sa ou te aprann nan istwa sa a ?|8. Qu'avez-vous appris ?|8. What did you learn?|empty
9. Ki sa ki te rive nan istwa sa a ou pa t atann ?|9. Qu'est-ce qui vous a surpris ?|9. What surprised you?|empty
10. Ki kesyon w ap poze tèt ou sou istwa sa a ?|10. Quelles questions vous posez-vous ?|10. What do you wonder about?|empty
11. Èske w ta rekòmande yon zanmi w li liv sa a ? Pou ki sa ?|11. Recommanderiez-vous ce livre à un ami ? Pourquoi ?|11. Would you recommend this book to a friend? Why?|empty
Chen Gallardo a|Le Chien de Gallardo|Gallardo’s Dog|empty
Vwala se te Gallardo ki te gen yon chen ki rele Kameli.|Il était une fois Gallardo qui avait un chien nommé Kaméli.|Once upon a time, Gallardo had a dog named Kameli.|empty
Kameli renmen jwe ak Gallardo anpil anpil.|Kaméli aimait beaucoup jouer avec Gallardo.|Kameli loved to play with Gallardo a lot.|empty
Yon jou maten, Gallardo al nan jaden ak Kameli.|Un jour, Gallardo alla au champ avec Kaméli.|One day, Gallardo went into the field with Kameli.|empty
Lè yo rive nan jaden an, Kameli kouche anba yon gwo pye bwa.|Arrivé au champ, Kaméli se coucha sous un grand arbre.|When they got to the field, Kameli laid down under a big tree.|empty
Gallardo menm ap fouye patat nan jaden an.|Pendant ce temps, Gallardo déterrait des patates douces dans le jardin.|Meanwhile, Gallardo was digging up some sweet potatoes in the garden.|empty
Pandan y ap soti nan jaden an, Kameli wè yon chat, li kouri dèye l.|Au moment où ils quittaient le jardin, Kaméli vit un chat et se mit à courir après lui.|As they were leaving the garden, Kameli saw a cat and ran after it.|empty
Chat la kouri moute yon pye bwa.|Le chat monta dans un arbre.|The cat climbed up a tree.|empty
Gallardo rele deyè l : « Kameli, Kameli ! »|Gallardo cria après lui : « Kaméli, Kaméli ! »|Gallardo called after her: “Kameli, Kameli!”|empty
Kameli pa vini.|Kaméli ne revint pas.|Kameli did not come back.|empty
Gallardo fache.|Gallardo se fâcha.|Gallardo was angry.|empty
Lè li rive lakay li, li kale Kameli.|Arrivé à la maison, il battit Kaméli.|When he got home, he beat Kameli.|empty
Apre sa, li bay Kameli manje.|Puis il donna à manger à Kaméli.|Afterwards, he gave Kameli some food.|empty
Kameli fache, li pa manje.|Mais Kaméli était fâché et ne mangea pas.|But Kameli was mad at him and did not eat.|empty
Gallardo di l: « M ap touye w nèt a baton. »|Gallardo dit : « Je vais te frapper à mort. »|Gallardo said, “I am going to beat you to death.”|empty
Kameli rete fache, li pa jwe ak Gallardo ankò.|Kaméli resta fâché et ne voulut plus jouer avec Gallardo.|Kameli remained mad and did not play with Gallardo anymore.|empty
Lè Gallardo wè sa, li di chen an: « Ou gen rezon w, kòmè. Mwen p ap fè w sa ankò. »|Lorsque Gallardo vit cela, il dit au chien : « Tu as raison, mon amie. Je ne te frapperai plus. »|When Gallardo saw that, he told the dog, “You’re right, my friend. I will never do that to you again.”|empty
Depi lè sa, Gallardo pa janm kale Kameli ankò.|Depuis lors, Gallardo ne battit plus Kaméli.|From that time on, Gallardo never beat Kameli again.|empty
Kameli ak Gallardo vin retounen 2 bon zanmi.|Gallardo et Kaméli redevinrent deux bons amis.|Gallardo and Kameli became two good friends again.|empty
1, 2, 3, kalkile konbyen !|empty|1, 2, 3 Look How Many!|¡1, 2, 3 Mira cuantas cosas!
Gen kat (4) timoun k ap dòmi epi senk (5) ki pa ko dòmi.|empty|There are four children sleeping and five awake.|Hay cuatro niños durmiendo y cinco despiertos.
Konbyen timoun antou ?|empty|How many children are there in all?|¿Cuántos niños hay en total?
Gen yon (1) gwo kay epi de (2) ti kay.|empty|There is one big house and two small houses.|Hay una casa grande y dos casas chiquitas.
Konbyen kay antou ?|empty|How many houses are there in all?|¿Cuántas casas hay en total?
Gen twa (3) balon ak de (2) poupe.|empty|There are three balls and two dolls.|Hay tres pelotas y dos muñecas.
Konbyen jwèt antou ?|empty|How many toys are there in all?|¿Cuántos juguetes hay en total?
Gen sis (6) ti fi ak de (2) ti gason.|empty|There are six girls and two boys.|Hay seis niñas y dos niños.
Konbyen moun antou ?|empty|How many people are there in all?|¿Cuántas personas hay en total?
Gen yon (1) pyèv (chat wouj) ak de (2) kalama nan lanmè a.|empty|There is one octopus and two squids in the sea.|Hay un pulpo y dos calamares en el mar.
Konbyen bèt antou ?|empty|How many animals are there in all?|¿Cuántos animales hay en total?
Gen kat (4) kreyon ak de (2) gòm.|empty|There are four pencils and two erasers.|Hay cuatro lápices y dos borradores.
Konbyen bagay antou ?|empty|How many things are there in all?|¿Cuántos cosas hay en total?
Gen twa (3) kay.|empty|There are three houses.|Hay tres casas.
Youn (1) ladan yo gwo.|empty|One is big.|Una es grande.
Konbyen kay ki piti ?|empty|How many houses are small?|¿Cuántas son pequeñas?
Gen anpil bagay pou w konte.|empty|There are lots of things to count!|¡Hay muchas cosas que contar!
Konbyen antou ?|empty|How many in all?|¿Cuántos hay en total?
Enfòmasyon sou otè a :|empty|About the author:|Acerca de la autora:
Mwen gen set (7) an.|empty|I am seven years old.|Yo tengo siete años.
Mwen renmen chen.|empty|I like dogs.|A mí me gustan los perros.
Mwen renmen takòs.|empty|I like tacos.|A mí me gustan los tacos.
Mwen renmen al nan fèt nesans.|empty|I like birthday parties.|A mí me gustan las fiestas de cumpleaños.
Mwen renmen ponmkèt epi krèm.|empty|I like doughnuts and ice cream.|A mí me gustan las donas y el helado.
Mwen renmen manje pwason.|empty|I like to eat fish.|A mí me gusta el pescado.
Poul|Les Poules|Chickens|empty
Gen poul ki viv lakay, gen lòt ki viv nan bwa.|Il y a des poules qui vivent à la maison et d’autres dans les bois.|There are chickens that live at home and others that live in the woods.|empty
Poul kapab gen yon sèl koulè oubyen de (2) koulè pami gri, blan, nwa, ak mawon.|Les poules peuvent être d’une ou de deux couleurs telles que le gris, blanc, noir ou marron.|Chickens can be one color or two colors — from grey, white, black, and brown.|empty
Pou yon poul fè pitit li bezwen ponn ze epi kale yo.|Pour qu’une poule puisse avoir des poussins, elle doit pondre des œufs et les couver.|For a chicken to have chicks, it needs to lay eggs and hatch them.|empty
M renmen poul paske li itil.|J’aime les poules car elles sont utiles.|I like chickens because they are useful.|empty
Poul manje zandolit.|Les poules mangent des lézards.|Chickens eat lizards.|empty
Poul kapab manje ravèt ki nan kay.|Les poules peuvent manger les cafards qui sont dans la maison.|Chickens can eat cockroaches that are in the house.|empty
Moun fè komès ak poul, vann yo nan mache.|"Les gens font du commerce avec les poules ; ils les vendent au marché."|People do business with chickens by selling them in the market.|empty
M renmen poul.|J’aime les poules.|I like chickens.|empty
E ou menm ?|Et toi ?|Do you?|empty
Zaboka|L'Avocat|Avocado|empty
Zaboka se yon fwi.|L'avocat est un fruit.|The avocado is a fruit.|empty
Li gen koulè vèt oubyen vyolèt.|Il peut être de couleur vert ou violet.|It can be green or violet.|empty
Zaboka donnen nan pye pa l.|Il pousse sur un avocatier.|It grows on its own tree.|empty
Gen zaboka ki fèt tou won, gen lòt ki fèt tou long.|Certains avocats sont ronds alors que d'autres sont ovales.|Some avocados are round-shaped whereas others are oval-shaped.|empty
Chak zaboka gen yon grenn anndan li.|Chaque avocat a un noyau à l'intérieur.|Each avocado has a pit inside of it.|empty
Lè zaboka mi, anndan l gen koulè jòn.|Quand un avocat est mûr, il est jaune à l'intérieur.|When an avocado is ripe, it is yellow inside.|empty
Moun manje zaboka ak plizyè bagay, tankou : mayi moulen, diri, sik, pwason, bòy.|On mange des avocats avec beaucoup de choses, telles que du maïs moulu, du riz, du sucre, du poisson et des boulettes de farine.|We eat avocados with many things, such as cornmeal, rice, sugar, fish or dumplings.|empty
Moun vann zaboka pou peye lekòl, achte manje ak lòt bagay toujou.|Les gens vendent des avocats pour payer l'écolage, pour acheter de la nourriture et beaucoup d'autres choses.|People sell avocados to pay for school, to buy food and many other things.|empty
Nou menm, elèv klas premyè ane, nou konseye tout moun k ap li liv sa a plante zaboka, epi ba l valè nan kominote kote w ap viv la.|Nous, élèves de la première année, encourageons tous les lecteurs de ce livre à planter des avocatiers et à les valoriser dans les communautés où ils vivent.|We, the first grade students, encourage everyone reading this book to plant and value avocados in the communities where they live.|empty
Kon sa, tout moun va konn valè li.|Ainsi, tout le monde verra leur importance.|This way, everyone will know their importance.|empty
Nan lakou lakay|Dans la cour de notre maison|In Our Yard at Home|empty
Nan lakou lakay, te gen 2 ti marasa : Maryo ak Marya.|Chez nous, il y avait deux jumeaux : Mario et Maria.|At our house, there was a set of twins: Mario and Maria.|empty
Marenn yo, Sofia, fè yo kado yon 2 ti poul (yon mal ak yon femèl).|Leur marainne, Sofia, leur avait donné deux poussins (un mâle et une femelle).|Their godmother, Sofia, gave them a pair of chicks (one male and one female).|empty
Se te premye fwa yo te gen poul nan lakou a.|C’était la première fois qu’il y avait des poules dans la cour.|It was the first time they had chicks in their yard.|empty
Mesye dam yo toujou bay poul yo manje byen jis yo grandi.|Les enfants ont toujours bien nourris les poussins jusqu’à ce qu’ils deviennent grands.|The children always fed the chicks well as they grew up.|empty
Kounye a poul la kòmanse chante, se ze li pral ponn.|Elle codasse. #### Maintenant, la poule est prête à pondre.|"Now, the hen had begun to cluck; she was about to lay eggs."|empty
Lendi, poul la ponn yon ze.|Lundi, la poule a pondu un œuf.|Monday, the hen laid one egg.|empty
Madi, poul la ponn yon lòt ze.|Mardi, la poule a pondu encore un œuf.|Tuesday, the hen laid another egg.|empty
Sa fè li de (2) ze.|Elle a maintenant deux œufs.|She now has two eggs.|empty
Mèkredi, poul la ponn yon lòt ze.|Mercredi, elle a encore pondu un autre œuf.|Wednesday, the hen laid another egg.|empty
Sa fè li twa (3) ze.|Elle a maintenant trois œufs.|She now has three eggs.|empty
Jedi, poul la ponn yon lòt ze.|Jeudi, la poule a pondu un autre œuf.|Thursday, the hen laid another egg.|empty
Sa fè li kat (4) ze.|Elle a maintenant quatre œufs.|She now has four eggs.|empty
Vandredi, poul la ponn yon lòt ze ankò !|Vendredi, la poule a encore pondu un autre œuf !|On Friday, the hen laid another egg again!|empty
Sa fè li senk (5) ze.|Elle a maintenant cinq œufs.|She now has five eggs.|empty
Samdi, li ponn yon lòt ze ankò !|Samedi, elle a pondu un autre œuf !|On Saturday, the hen laid another egg again!|empty
Sa fè li sis (6) ze.|Elle a maintenant six œufs.|She now has six eggs.|empty
Dimanch, poul la ponn yon lòt ze ankò!|Dimanche, elle a encore pondu un œuf.|On Sunday, the hen laid another egg again.|empty
Sa fè li sèt (7) ze.|Elle a maintenant sept œufs.|She now has seven eggs.|empty
Lendi pwochen, poul la ponn yon lòt ze ankò.|Le lundi prochain, elle a encore pondu un œuf.|The following Monday, the hen laid another egg again.|empty
Sa fè l uit (8) ze antou nan nich li.|Elle a maintenant huit œufs dans son nid.|She now has eight eggs total in her nest.|empty
Li tou kouche sou nich la.|Elle s’assied donc sur le nid.|She then sat on the nest.|empty
Poul la pran anpil jou pou l chofe ze yo anvan yo kale.|La poule a mis plusieurs jours à couver ses œufs avant qu’ils éclosent.|The hen warmed the eggs for many days before they hatched.|empty
Sa te pran anviwon venn de (22) jou.|Cela a pris vingt-deux jours environ.|It took about 22 days.|empty
"Yon bon maten, li leve ak uit (8) ti poul dèyè l ; mete sou manman poul la, sa fè nèf (9) poul."|Puis, un beau matin, elle s’amène avec huit poussins derrière elle. #### Elle et ses poussins font neuf poules.|One bright morning, she got up with 8 chicks behind her. #### The mama hen plus her chicks now make nine chickens.|empty
Kounye a kòk la, manman poul la ansanm ak uit (8) ti poul yo, sa fè dis (10) poul nan lakou lakay.|Maintenant, le coq, la poule et ses huit poussins, ça fait dix poules dans la cour de notre maison.|Now, the rooster, the hen, and the eight chicks make together ten chickens in our yard at home.|empty
Èske ou ka konte yo ?|Peux-tu les compter ?|Can you count them?|empty
Chat|Chat|Cat|empty
Bèt m pi renmen se chat.|Mon animal favori est le chat.|My favorite animal is the cat.|empty
Papa m renmen chat tou.|Mon papa aime les chats aussi.|My dad loves cats too.|empty
Gen chat ki gen koulè nwa e blan, gen chat gri, gen chat mawon.|Il y a des chats qui sont noirs et blancs. #### Il y a des chats gris et des chats marron.|There are cats that are black and white. #### There are gray cats and brown cats.|empty
Yo gen tout koulè.|Les chats peuvent être de différentes couleurs.|They come in all colors.|empty
Chat renmen manje rat.|Les chats aiment manger les rats.|Cats like to eat rats.|empty
Kay ki gen chat p ap gen rat.|Les maisons qui ont des chats n’auront pas de rats.|Homes with cats won’t have rats.|empty
Chat fè pitit, tankou tout mamifè.|Les chattes font des bébés comme tous les mammifères.|Cats have babies like all mammals.|empty
Li pouse pitit li.|Elles mettent bas (accouchent) ses petits.|They give birth to their babies.|empty
Gen moun ki manje chat.|Il y a des gens qui mangent des chats.|There are people who eat cats.|empty
M pa renmen wè jan yo touye chat.|Je n’aime pas voir comment ils tuent les chats.|I don’t like to see how they kill cats.|empty
Yo bay chat la yon kout baton epi li tonbe li mouri.|Ils frappent le chat avec un baton, il tombe et il meure.|They give the cat a blow with a stick, then it falls and it's dead.|empty
Yo koche l, seche l, epi kuit li.|Ils le nettoient, ils le sèchent, et ils le cuisent.|Then they flay it, dry it, and cook it.|empty
Polis san zam|Un officier de police sans arme|A Police Officer Without a Gun|empty
Yon jou swa pandan yon ti pay dòmi pran Djolenski, li tande pòt vant li frape bow, bow.|Une nuit, alors que Djolenski venait juste de s'endormir, il entendit frapper à la porte de son ventre, toc toc toc.|One night when Djolenski had just fallen asleep, he heard a knock on the door of his tummy, knock, knock.|empty
Li di : « Kilès sa a ? »|Il demanda : « Qui est là ? »|He said, “Who’s there?”|empty
Polis la reponn : « Se mwen, konpè twalèt. »|L'officier de police répondit : « C'est moi, Officier Toilette. »|The police officer replied, “It’s me, Officer Poop.”|empty
Menm lè a, Djolenski leve, li tòde, li pa ka mache.|Djolenski se leva aussitôt. #### Il se tordait et ne pouvait pas marcher.|"Djolenski got up right away. #### He twisted around; he could not walk."|empty
Tanzantan, polis la mete plis presyon sou li.|De temps en temps, l'officier de police mettait plus de pression sur son ventre.|Every few minutes, the police officer put more pressure on his tummy.|empty
Li kriye.|Il criait.|He cried out.|empty
Polis la di : « M p ap ba w chans. Fòk ou ale. »|L'officier de police dit : « Je ne te donne pas le choix. Tu dois y aller. »|The police officer said, “I’m not going to give you any mercy. You must go.”|empty
Pandan y ap diskite, manman Djolenski tande yon gwo kout kanno voum .|Pendant leur conversation, la mère de Djolinski entendit un grand boum ! comme un coup de canon.|While they were arguing, Djolenski’s mother heard a big boom like a cannon firing.|empty
Li di : « Èske yo te anonse tan ? »|« Ont-ils annoncé du mauvais temps ? » demanda-t-elle.|She asked, “Did they announce bad weather?”|empty
Djo reponn : « Se mwen menm wi, manman. Polis vin arete m. »|Djo répondit : « C'est moi, maman. La police est venue m'arrêter. »|Djo answered, “It’s me, mom. The police came to arrest me.”|empty
Manman sezi, li di : « Èske ou te ann afè ak moun ? »|Choquée, sa mère lui demanda : « Est-ce que tu as eu un problème avec quelqu'un ? »|His mom was shocked and said, “Did you get in trouble with anyone?”|empty
Djo di : « Se polis san zam wi, manman. »|Djo répondit : « Non, maman. C'est l'officier de police sans arme. »|Djo answered, “No, mom. It’s the police officer without a gun.”|empty
Depi lè sa a, tout moun nan kay la fè atansyon pou yo pa ann afè ak polis sa a ak patnè li, Gaz .|Depuis lors, tous les gens de la maison agissent prudemment pour éviter tout problème avec cet officier et son partenaire, Gaz .|From that time on, everyone in the house was careful not to have to deal with this officer and his partner, Gas .|empty
Baskètbòl|Le Basket-ball|Basketball|empty
Nimewo wouj klere ki nan kwonomèt la montre se dis (10) segonn ki rete.|Les chiffres rouges et brillants sur le chronomètre indiquaient qu'il ne restait plus que dix secondes.|The bright red numbers on the timer read ten seconds left.|empty
Janm mwen t ap fè m mal afòs mwen kouri epi kè m t ap bat fò.|J'avais mal aux jambes à force de courir et mon cœur battait fort.|My legs ached from running and my heart was pounding.|empty
Tout kò m t ap tranble tèlman m te gen kè kase.|J’étais tellement nerveuse que tout mon corps tremblait.|My body shivered with nervousness.|empty
"Match la te nil ; ekip mwen an te sèlman bezwen fè yon panye an plis pou n genyen."|"Le match était serré ; mon équipe devait marquer un panier supplémentaire pour gagner."|"It was a tie game; my team needed one more basket to win."|empty
M atrap boul la epi m ap kouri desann sou teren an.|J'ai intercepté le ballon de basket et j'ai couru rapidement vers le camp adverse.|I snatched the basketball and sprinted down the court.|empty
"Mwen gade òlòj la ; te ret kat (4) segonn."|"J'ai regardé le chronomètre ; pas plus que quatre secondes."|"I looked at the timer; four seconds left."|empty
Mwen voye balon an bay zanmi m Ally epi m kwaze ti dwèt mwen nan lespwa manmzèl ap fè panye a.|J'ai passé le ballon à mon amie Ally et j'ai croisé mes doigts dans l'espoir qu'elle marquerait le panier.|I passed the ball to my friend Ally and crossed my fingers in hope that she would score.|empty
Ally choute.|Ally lança la balle.|Ally shot the ball.|empty
Te rete yon (1) segonn.|Il ne restait plus qu'une seconde.|There was one second left.|empty
Balon an fè yon bri swich ! etan l ap plonje antre nan sèk panye a.|La balle émit un sifflement swish ! en plongeant dans le cerceau.|The ball made a swishing sound as it dove into the hoop.|empty
Ekip mwen an rele ak kè kontan epi antrenè mwen an tonbe bat men l byen fò.|Mon équipe se mit à hurler de joie et mon entraineur se mit à applaudir bruyamment.|My team screeched with excitement and my coach clapped wildly.|empty
Se te youn nan match baskètbòl mwen te pi renmen epi m ap toujou sonje l.|C’était l’un de mes meilleurs souvenirs d’un match de basket-ball, l’un des plus inoubliables.|That was one of my favorite and most memorable basketball games ever!|empty
Mwen ak anpil nan zanmi m yo, nou jwe nan ekip lekòl mwen.|Je fais partie de l'équipe de mon école avec beaucoup de mes amies.|I'm on the school team with a lot of my friends.|empty
Mwen gen antrennman baskètbòl de (2) fwa pa semenn apre lekòl.|Je joue au basket-ball deux fois par semaine après l'école.|I play basketball two times a week after school.|empty
Pafwa se pratik, pafwa se yon match.|Parfois, j'ai un entrainement et parfois j'ai un match.|Sometimes I'll have a practice and sometimes I'll have a game.|empty
Pou match baskètbòl nou yo, nou jwe ak lòt lekòl.|Lors des matchs, nous jouons contre d'autres écoles.|For our basketball games, we play against other schools.|empty
Yon lè kon sa, nou ka jwe sou teren lekòl nou an. #### Men, pi souvan se nan lekòl lòt ekip yo n ale epi nou jwe sou teren pa yo.|Parfois, nous jouons sur notre terrain. #### Mais le plus souvent nous allons à l'école de l'autre équipe pour jouer sur leur terrain.|Occasionally we'll play on the court at our school but usually we'll go to the other team's school and play on their court.|empty
Match yo toujou chofe anpil.|Les matchs sont toujours formidables.|Games are always very exciting.|empty
Jeneralman, mwen gen kè kase anvan yon match. #### Men, mwen kalme depi mwen kòmanse jwe.|D’habitude, je suis nerveuse avant le début d'un match. #### Mais je surmonte toujours ma nervosité dès que je commence à jouer.|Usually, I get nervous before my basketball game starts but I always get over my nerves once I start playing.|empty
Mwen pi pito match pase antrennman paske nan antrennman nou fè anpil egzèsis. #### Sa bon tou. #### Men, gen plis amizman lè w ap jwe yon vre match baskètbòl.|Je préfère les matchs aux entrainements parce qu'aux entrainements nous faisons habituellement des exercices, ce qui est bien, mais jouer un vrai match de basket-ball est beaucoup plus amusant.|I prefer games over practices because at basketball practice we usually do drills and exercises, which are nice but playing a real basketball game is more fun.|empty
Baskètbòl se yon espò ki enteresan anpil.|Le basket-ball est vraiment un sport génial.|Basketball is a really exciting sport.|empty
M renmen patisipe nan yon ekip baskètbòl chak ane.|J'adore faire partie d'une équipe de basket chaque année.|I love being on a basketball team every year!|empty
Baskètbòl se espo m pi renmen an.|Le basket-ball est mon sport préféré.|Basketball is my favorite sport.|empty
Li mande pou w kouri anpil, travay nan tèt ansanm epi gen anpil taktik.|Ce sport demande de beaucoup courir, de travailler en équipe et d’avoir des stratégies.|It involves a lot of running, teamwork and strategy.|empty
Kèk fwa lè n ap antrene, nou travay anpil sou taktik, nou reflechi sou plizyè plan pou n ka rive fè panye nan match nou yo.|Parfois, pendant les entrainements, on travaille sur les stratégies et on réfléchit aux différents moyens d'arriver à marquer des paniers pendant nos matchs.|Sometimes in practices, we work on strategy by thinking of different plans so that we can score in our games.|empty
"Jwèt baskètbòl depann sou travay nan tèt ansanm ; sa se yon bèl bagay paske li amizan tout bon pou fè pati yon ekip."|Le basket-ball dépend beaucoup sur le travail d'équipe, ce qui est bien parce que c'est vraiment amusant de faire partie d'une équipe.|Basketball also relies a lot on teamwork, which is great because being part of a team is really fun.|empty
Liv sou jan ou santi w|Le livre des sentiments|Feelings Book|empty
Ajite|L'agitation|Restless|empty
Ki lè w ajite ?|Quand es-tu agité ?|When are you restless?|empty
Anvi|L’envie|Eager|empty
Ki lè w anvi fè yon bagay ?|Quand as-tu envie de faire quelque chose ?|When are you eager to do something?|empty
Degoute|Le dégoût|Yucky|empty
Ki sa w panse ki degoutan ?|Qu'est-ce que tu trouves dégoûtant ?|What do you think is yucky?|empty
Dekouraje|Le moral en baisse|Down|empty
