text,text_preprocessed,LEN
"Di paint eh-mek se nof sitizn a Jumieka no gat no kampitensi ina ""h""[[Ingglish]], di languij ina we saabis a di stiet naamali provaid ina.",Di paint ehmek se nof sitizn a Jumieka no gat no kampitensi ina hIngglish di languij ina we saabis a di stiet naamali provaid ina,25
"Di Ripuot gwaan fi stiet se di Komitii uol di vyuu chrang-chrang se Paaliment shuda ingkorij di Dipaatment a Languij, Lingguistix ah Filasafi a di [[Yunivoersiti a di Wes Indiz]] fi poersyuu disya wok ah fi ripuot apruopietli pah datde wok az iprogres.",Di Ripuot gwaan fi stiet se di Komitii uol di vyuu chrangchrang se Paaliment shuda ingkorij di Dipaatment a Languij Lingguistix ah Filasafi a di Yunivoersiti_a_di_Wes_Indiz fi poersyuu disya wok ah fi ripuot apruopietli pah datde wok az iprogres,39
"Di Chierman a di Komitii, [[Seneta]] A. J. Nikalsn, Q.C., Atoerni Jineral ah Minista a Jostis, ripuot di rikomendieshan a di Komitii wid rigyaad tu di setn op a di languij iejensi magl pah di Antilian Lingguistik Instityuut a di [[Nedalanz]] Antiliiz ah plej se ""Di Minischri a Jostis stan redi fi asis az maita bikom nesiseri.",Di Chierman a di Komitii Seneta A J Nikalsn QC Atoerni Jineral ah Minista a Jostis ripuot di rikomendieshan a di Komitii wid rigyaad tu di setn op a di languij iejensi magl pah di Antilian Lingguistik Instityuut a di Nedalanz Antiliiz ah plej se Di Minischri a Jostis stan redi fi asis az maita bikom nesiseri,57
Ekuatuorial Gini a wahn konchri ina [[Afrika]].,Ekuatuorial Gini a wahn konchri ina Afrika,7
Mejament a di prases chuu we wi gi wahn [[nomba]] tu wahn karaktaristik (ar finaminan) askaadn tu di wahn ruul ar set a ruul.,Mejament a di prases chuu we wi gi wahn nomba tu wahn karaktaristik askaadn tu di wahn ruul ar set a ruul,22
"Chaina a wahn hieria we kansis a tuu konchri: di [[Piiplz Ripoblik a Chaina]] (mienlan Chaina), ahn di [[Ripoblik a Chaina]] (ina Taiwan).",Chaina a wahn hieria we kansis a tuu konchri di Piiplz_Ripoblik_a_Chaina ahn di Ripoblik a Chaina,16
[[Fi]] [[mek]] aljibriek kompiutieshan wid vieriebl laka se dem a hexplisit nomba lou smadi fi salv waga-waga prablem ina wan dege kompiutieshan.,Fi mek aljibriek kompiutieshan wid vieriebl laka se dem a hexplisit nomba lou smadi fi salv wagawaga prablem ina wan dege kompiutieshan,22
"Muoziz a di muos impuotant prafit ina Juudizam, ah wah impuotant prafit ina [[Izlam]], [[Kristianiti]], di [[Ba'ai Fiet]], [[Rastafarai]] ah nof ada fiet.",Muoziz a di muos impuotant prafit ina Juudizam ah wah impuotant prafit ina Izlam Kristianiti di Baai Fiet Rastafarai ah nof ada fiet,23
Reunioh a wahn terichri ina [[Afrika]].,Reunioh a wahn terichri ina Afrika,6
Paatikl fizix (aalso ai enaji fizix) a di branch a [[fizix]] we todi di niecha a di paatikldem we kanstityuut [[mata]] (paatikl wid [[mas]]) ah redieshan (masles paatikl).,Paatikl fizix a di branch a fizix we todi di niecha a di paatikldem we kanstityuut mata ah redieshan,19
"[[pruotan]], gias paatikl, ar iibm ousuol dos), ""paatikl fizix"" yuujali investigiet di irijuusebl sumaalis ditektebl paatikl ah di irijuusebl fondamental fuos fiil nesiseri fi hexplien dem.",pruotan gias paatikl ar iibm ousuol dos paatikl fizix yuujali investigiet di irijuusebl sumaalis ditektebl paatikl ah di irijuusebl fondamental fuos fiil nesiseri fi hexplien dem,26
"Di korantli daminant tiori we explien demaya fondamental paatikl ah fiil, langsaida deh dainamix, kaal di [[Standad Magl]].",Di korantli daminant tiori we explien demaya fondamental paatikl ah fiil langsaida deh dainamix kaal di Standad_Magl,17
"Velilla de los Ajos a wahn miunisipaliti luokiet ina di [[pravins a Soria]], [[Kiastiil ahn León]], [[Spien]].",Velilla de los Ajos a wahn miunisipaliti luokiet ina di pravins_a_Soria Kiastiil ahn León Spien,15
"Oert (simbal: ; ina Griik: ""Γαῖα"" Gaia, ar ina [[Latn]]: Terra), adawaiz nuo az di wol, a di tod planit frah di [[Son]], di densis planit ina di [[Suola Sistim]], di laajis a di Suola Sistim fuo tireschrial planit, ah di onggl aschranamikal abjek we nuo fi aaba [[laif]].",Oert adawaiz nuo az di wol a di tod planit frah di Son di densis planit ina di Suola Sistim di laajis a di Suola Sistim fuo tireschrial planit ah di onggl aschranamikal abjek we nuo fi aaba laif,39
"Sidni ([[Ingglish]]: ""Sydney"") es di biges city in [[Aschrielia]].",Sidni es di biges city in Aschrielia,7
"Dis ingkluud chriitment a wah indivijual ar gruup, bies pah deh akchual ar posiiv membaship [[ina]] soertn gruup ar suoshal kiatigari, ""[[ina]] wie we wos dah di wie piipl yuujali chriit"".",Dis ingkluud chriitment a wah indivijual ar gruup bies pah deh akchual ar posiiv membaship ina soertn gruup ar suoshal kiatigari ina wie we wos dah di wie piipl yuujali chriit,31
"[[It]] invalv di gruup inishal riakshan ar intarakshan gwain aan fi influens di indivijual akchual biyevia tuwadz di gruup liida ar di gruup, rischrik memba a wan gruup frah apachuniti ar privilij we avielebl tu wah nex gruup, liid tu di exkluujan a di indivijual ar entiti bies pah lajikal ar irashanal disijan mekin.",It invalv di gruup inishal riakshan ar intarakshan gwain aan fi influens di indivijual akchual biyevia tuwadz di gruup liida ar di gruup rischrik memba a wan gruup frah apachuniti ar privilij we avielebl tu wah nex gruup liid tu di exkluujan a di indivijual ar entiti bies pah lajikal ar irashanal disijan mekin,54
Landan a di kiapital fi [[Ingglan]] an di [[Yunaitid Kindom]].,Landan a di kiapital fi Ingglan an di Yunaitid Kindom,10
"Di Gran Kianyan (Uopi: ""Ongtupqa""; Yavapai: ""Wi:kaʼi:la"", Panish: ""Gran Cañón"") a wah kianyan wid stiip-stiip said kaavout bai di Kalaraado Riva ina di stiet a Arizuona ina di [[Yunaitid Stiet]].",Di Gran Kianyan a wah kianyan wid stiipstiip said kaavout bai di Kalaraado Riva ina di stiet a Arizuona ina di Yunaitid_Stiet,22
"Tax (frah di Latn ""taxo"") a [[finans]]hal chaaj ar ada levi impuoz pah taxpieya (indivijal ar liigal entiti) bai di stiet ar di fongshanal ikuivilent a di stiet fi fon vierios poblik expendicha.",Tax a finanshal chaaj ar ada levi impuoz pah taxpieya bai di stiet ar di fongshanal ikuivilent a di stiet fi fon vierios poblik expendicha,25
Taxiz kansis a dairek ar indairek taxiz ah kiah pie fa ina [[moni]] ar bai ilieba ikuivilent.,Taxiz kansis a dairek ar indairek taxiz ah kiah pie fa ina moni ar bai ilieba ikuivilent,17
Molduova (mo: Молдова) a wahn konchri ina [[Yuurop]].,Molduova a wahn konchri ina Yuurop,6
"Muotaim idinuot bai yuuz di posent [[sain]], ""%"".",Muotaim idinuot bai yuuz di posent sain,7
Di Jumiekan hana sistim divelop az wah yuuniik entiti sens di pachiz a di Nashinal Hana ah Awaad Ak bai di [[Paaliment a Jumieka]] ina 1969 (Ak No.,Di Jumiekan hana sistim divelop az wah yuuniik entiti sens di pachiz a di Nashinal Hana ah Awaad Ak bai di Paaliment_a_Jumieka ina Ak No,25
"Napuolian Buonapaat, nuo az Napoleon Bonaparte (15 Aagos 1769 – 5 Mie 1821) lieta nuo az Napuolian I a Frans, ahn priivos az Napoleone di Buonaparte, wehna milichri ahn palitikal liida a [[Frans]] uufa akshandem shiep Yuuropiian palitix ina di ""h""orli 19t senchri.",Napuolian Buonapaat nuo az Napoleon Bonaparte lieta nuo az Napuolian I a Frans ahn priivos az Napoleone di Buonaparte wehna milichri ahn palitikal liida a Frans uufa akshandem shiep Yuuropiian palitix ina di horli t senchri,36
Elsingki a di kiapital fi [[Finlan]].,Elsingki a di kiapital fi Finlan,6
"Ingkaapariet ina 1968, JSE opm ina 1969 ina [[Kinston, Jumieka]].",Ingkaapariet ina JSE opm ina ina Kinston_Jumieka,7
"Baan tu a faama, Virgil kom fi bi kansida az wana [[Ruom]] bigis puoim raita dem.",Baan tu a faama Virgil kom fi bi kansida az wana Ruom bigis puoim raita dem,16
"Ide ina di [[Kiaribiyan Sii]], bout 145 kilamiita (90 mail) sout a [[Kyuuba]], ah 190 kilamiita (120 mail) wes a di ailan we niem [[Ispanyuola]], we mekop frah [[Ieti]] ah di [[Daminikan Ripoblik]].",Ide ina di Kiaribiyan_Sii bout kilamiita sout a Kyuuba ah kilamiita wes a di ailan we niem Ispanyuola we mekop frah Ieti ah di Daminikan Ripoblik,26
"Di fos piipl dem we eh lib ina Jumieka, wena di [[Taino]] we eh-taak Arawak.",Di fos piipl dem we eh lib ina Jumieka wena di Taino we ehtaak Arawak,15
[[Spien]] ena di fos Yuropiyan konchri fi kliem Jumieka ah deh eh niemi Santiaago.,Spien ena di fos Yuropiyan konchri fi kliem Jumieka ah deh eh niemi Santiaago,14
Lieta Britn eh teki frah dem ah toni ina [[British Wes Indiz]] Kroun Kalani we niem Jumieka.,Lieta Britn eh teki frah dem ah toni ina British_Wes_Indiz Kroun Kalani we niem Jumieka,15
"Jumieka ab di tod nofis piipl we chat [[Ingglish]] ina [[Naat Amoerka]], afta Moerka ah [[Kianada]] ina da siem aada.",Jumieka ab di tod nofis piipl we chat Ingglish ina Naat Amoerka afta Moerka ah Kianada ina da siem aada,20
"Ibies muosli pah 17t senchri [[Ingglish]] we deh tiich di Afrikan slievdem mix wid som a deh uona Wes Afrikan languij, ah likl bit a lef-bak [[Panish]] ah [[Puotigiis]].",Ibies muosli pah t senchri Ingglish we deh tiich di Afrikan slievdem mix wid som a deh uona Wes Afrikan languij ah likl bit a lefbak Panish ah Puotigiis,29
"Iibn duo a wah liili konchri, Jumieka gi di wol wuoliip ina [[myuuzik]], [[spuots]], [[rilijan]] ah wid [[Maakos Gyaavi]] elp, Blak Nashinalizim.",Iibn duo a wah liili konchri Jumieka gi di wol wuoliip ina myuuzik spuots rilijan ah wid Maakos Gyaavi elp Blak Nashinalizim,22
"Di indijinos piipl, di Taino, kaali ""Xaymaca"" ina Arawakan, we miin se di ""[[Lan]] a Ud ah Waata"" ar di ""[[Lan]] a Spring"".",Di indijinos piipl di Taino kaali Xaymaca ina Arawakan we miin se di Lan a Ud ah Waata ar di Lan a Spring,23
"Koluokali Jumiekandem refa tu deh ailant uom az di ""Rak"", frah we deh get foerda slang niem laka ""Jamrak"", ah ""Jamdong"", ar deh [[jos]] kaali bai di tuu leta ""[[JA]]"".",Koluokali Jumiekandem refa tu deh ailant uom az di Rak frah we deh get foerda slang niem laka Jamrak ah Jamdong ar deh jos kaali bai di tuu leta JA,30
"Di Taino indijinos piipl, wa taak Arawak languij, arijiniet ina [[Sout Amoerka]], sekl pah di ailant bitwiin 4000 ah 1000 BKE.",Di Taino indijinos piipl wa taak Arawak languij arijiniet ina Sout_Amoerka sekl pah di ailant bitwiin ah BKE,18
"Wen [[Krixtifa Kolombos]] kech de ina 1494, deh weh ab muo dah 200 vilij ruul ba kasiik (chiif a vilij).",Wen Krixtifa_Kolombos kech de ina deh weh ab muo dah vilij ruul ba kasiik,14
[[Krixtifa Kolombos]] se Jumieka a Spien lan wen im lan deso ina 1494.,Krixtifa_Kolombos se Jumieka a Spien lan wen im lan deso ina,11
"Ina 1660, di papilieshan a [[Jumieka]] eh bout 4,500 wait ah 1,500 blak, bot az oerli az di 1670 deh taim, blak piipl faam di majariti a di papilieshan.",Ina di papilieshan a Jumieka eh bout wait ah blak bot az oerli az di deh taim blak piipl faam di majariti a di papilieshan,25
"Ina 1394, [[Frans]] blakout Juu frah koh lib ina deh konchri.",Ina Frans blakout Juu frah koh lib ina deh konchri,10
"Bai 1660, Jumieka bikomps rifiuj fi Juu ina di Nyuu Wol, azwel nof a dem weh get expel frah [[Spien]] ah [[Puotigal]] ron kom.",Bai Jumieka bikomps rifiuj fi Juu ina di Nyuu Wol azwel nof a dem weh get expel frah Spien ah Puotigal ron kom,23
"Wah seklment a Juu eh kom aredi ina 1510, kuiktaim afta fi [[Krixtifa Kolombos]] (Christopher Columbus) son sekl pah di hailant.",Wah seklment a Juu eh kom aredi ina kuiktaim afta fi Krixtifa_Kolombos son sekl pah di hailant,17
Wid di pairetdem setop a [[Puot Rayal]] di Panishdem udn tuu waah fi atak.,Wid di pairetdem setop a Puot_Rayal di Panishdem udn tuu waah fi atak,13
"Juurin di fos 200 ier a British ruul, [[Jumieka]] eh wan a di wol liidn nieshan we expuot shuga [[mek]] chuu sliev lieba.",Juurin di fos ier a British ruul Jumieka eh wan a di wol liidn nieshan we expuot shuga mek chuu sliev lieba,22
Nof a deh disendant kantiniu fi lib a [[Jumieka]] tide.,Nof a deh disendant kantiniu fi lib a Jumieka tide,10
"Bai di bignin a di 19t senchri, [[Jumieka]] dipendans pah sliev lieba ah plantieshan ikanami rizolt [[ina]] blak piipl outnomba wait piipl bai a riesho a almuos 20 tu 1.",Bai di bignin a di t senchri Jumieka dipendans pah sliev lieba ah plantieshan ikanami rizolt ina blak piipl outnomba wait piipl bai a riesho a almuos tu,28
"Alduo di [[UK]] eh outlaa di ""h""impuotieshan a sliev, som eh stil smogl kom a di kalanidem.",Alduo di UK eh outlaa di himpuotieshan a sliev som eh stil smogl kom a di kalanidem,17
"Deh ban wip frah yuuz ina fiil ah fi flag uman; deh [[mek]] di plaantadem nuo se deh fi lou di slievdem fi get Baibl-tiichin, ah wan frii die ebri wiik fi sel wa deh projuus, ah nomo Sundedie maakit so di slievdem kiah get fi gaa choch.",Deh ban wip frah yuuz ina fiil ah fi flag uman deh mek di plaantadem nuo se deh fi lou di slievdem fi get Baibltiichin ah wan frii die ebri wiik fi sel wa deh projuus ah nomo Sundedie maakit so di slievdem kiah get fi gaa choch,48
Di Ous a Asembli ina [[Jumieka]] bita di nyuu laa ah fait gens dem.,Di Ous a Asembli ina Jumieka bita di nyuu laa ah fait gens dem,14
Di Membadem (deh taim onggl [[Jumieka]]-Wait) kliem se di slievdem kantentid ah deh bex bout Paaliment intafierans ina di ailant bizniz.,Di Membadem kliem se di slievdem kantentid ah deh bex bout Paaliment intafierans ina di ailant bizniz,17
"Afta ribelian pah ribelian pah di ailant ah chienj-chienj atityuud ina Griet Britn, di British govament abalish slievri ofishal bai a 1833 ak, fi taat [[ina]] 1834, wid ful imansipieshan frah chakl slievri diklier [[ina]] 1838.",Afta ribelian pah ribelian pah di ailant ah chienjchienj atityuud ina Griet Britn di British govament abalish slievri ofishal bai a ak fi taat ina wid ful imansipieshan frah chakl slievri diklier ina,33
"Di papilieshan [[ina]] 1834 ena 371,070, outa dat 15,000 eh wait, 5,000 frii blak; 40,000 'kolad' ar mix ries; ah 311,070 sliev.",Di papilieshan ina ena outa dat eh wait frii blak kolad ar mix ries ah sliev,16
"Ina 1945, Sar Aris Ekta Oern (Horace Hector Hearne) ton Chiif Jostis ah Kipa fi di Rekaad ina [[Jumieka]].",Ina Sar Aris Ekta Oern ton Chiif Jostis ah Kipa fi di Rekaad ina Jumieka,15
"Ih ed di Supriim Kuot, [[Kinston]] bitwiin 1945 ah 1950/1951.",Ih ed di Supriim Kuot Kinston bitwiin ah,8
"Ih muuv gaa [[Kenia]], weni achiiv indipendans, we ih get apaint tu Chiif Jostis.",Ih muuv gaa Kenia weni achiiv indipendans we ih get apaint tu Chiif Jostis,14
"Ina 1958, iton pravins ina di Fedarieshan a di Wes Indiz, wah fedarieshan mongx di [[British Wes Indiz]].",Ina iton pravins ina di Fedarieshan a di Wes Indiz wah fedarieshan mongx di British_Wes_Indiz,15
"Chrang ikanamik gruot, avrij bout 6% por anom, maak di fos ten ier a indipendans anda wan-wan kansoervativ govament anda di liidaship a Praim Minista [[Aligzanda Bostamanti]] (Alexander Bustamante), Danal Sangsta (Donald Sangster) ah Yuu Shiera (Hugh Shearer).",Chrang ikanamik gruot avrij bout por anom maak di fos ten ier a indipendans anda wanwan kansoervativ govament anda di liidaship a Praim Minista Aligzanda_Bostamanti Danal Sangsta ah Yuu Shiera,30
"Juu tu farin ah luokal det a-riez, marid wid bufo fiskal difisit, di gobament go luk Intanashinal Maniteri Fon (International Monetary Fund IMF) finansin frah di [[Yunaitid Stiet]] (United States) ah adaels.",Juu tu farin ah luokal det ariez marid wid bufo fiskal difisit di gobament go luk Intanashinal Maniteri Fon finansin frah di Yunaitid_Stiet ah adaels,25
"Ikanamik ditiiriorieshan kantiniu tel ina di mid-1980, [[mek]] wosa bai soertn tingz; di fos ah toerd bigis alumina projuusa, Alpart ah Alcoa, shetdong, ah prodokshan bai Alcan, di sekan bigis projuusa, jrap nof-nof.",Ikanamik ditiiriorieshan kantiniu tel ina di mid mek wosa bai soertn tingz di fos ah toerd bigis alumina projuusa Alpart ah Alcoa shetdong ah prodokshan bai Alcan di sekan bigis projuusa jrap nofnof,33
"Pah tapa dat, tuurizam dikriis ah Reynolds [[Jamaica]] Mines, Ltd. lef di Jumiekan indoschri.",Pah tapa dat tuurizam dikriis ah Reynolds Jamaica Mines Ltd lef di Jumiekan indoschri,14
"Indipendans, no mata umoch deh silibriet [[ina]] [[Jumieka]], [[ina]] muo riisent ier kumop az tapik fi kantenshan.",Indipendans no mata umoch deh silibriet ina Jumieka ina muo riisent ier kumop az tapik fi kantenshan,17
"Di klaimit ina [[Jumieka]] chrapikal, wid at ah yuumid weda, alduo aya hop inlan riijan plenti kuula.",Di klaimit ina Jumieka chrapikal wid at ah yuumid weda alduo aya hop inlan riijan plenti kuula,17
"Som riijan pah di sout kuos, laka Liganii [[Plien]] ([[Liguanea Plain]]) ah Pijro [[Plien]] (Pedro Plains), muo jraya ina rien-sheda ieria.",Som riijan pah di sout kuos laka Liganii Plien ah Pijro Plien muo jraya ina riensheda ieria,17
"[[Jumieka]] de ina di orikien belt a di [[Atlantik Uoshan]] ah sieka dis, di ailant somtaim get lik wid bofoto staam damij.",Jumieka de ina di orikien belt a di Atlantik Uoshan ah sieka dis di ailant somtaim get lik wid bofoto staam damij,22
"[49] Orikien Chaali (Charlie) ah Gilboert (Gilbert) lik [[Jumieka]] dairek ina 1951 ah 1988, rispektivli, ah kaaz mieja damij ah nof det.",Orikien Chaali ah Gilboert lik Jumieka dairek ina ah rispektivli ah kaaz mieja damij ah nof det,17
"Ina di 2000 (deked), orikien [[Aivan]] (Ivan), Diin (Dean), ah Gustav azwel kyaa sivier weda kom a di ailant.",Ina di orikien Aivan Diin ah Gustav azwel kyaa sivier weda kom a di ailant,15
"Som a di ailant protek ieria inkluud di Kakpit Konchri ([[Cockpit Country]]), Elsha [[Ilz]] ([[Hellshire Hills]]), ah Lichfiil (Litchfield) faris rizoerv.",Som a di ailant protek ieria inkluud di Kakpit Konchri Elsha Ilz ah Lichfiil faris rizoerv,16
"Ina 1992, [[Jumieka]] fos mariin paak, pred uoba nieli 6 skwier mail (bout 15 km2), extablish ina [[Mantigo Bie]].",Ina Jumieka fos mariin paak pred uoba nieli skwier mail extablish ina Mantigo Bie,14
Puotlan Bait Protek Ieria ([[Portland Bight Protected Area]]) dizigniet ina 1999.,Puotlan Bait Protek Ieria dizigniet ina,6
"Di ier afta [[Bluu ah Jangkro Mountn]] Nashinal Paak ([[Blue and John Crow Mountains National Park]]) kriet outa rofli 300 skwier mail (780 km2) a wildanis, we supuot touzn pah touzn a [[chrii]] ah foern spiishiz ah rier animal.",Di ier afta Bluu_ah_Jangkro_Mountn Nashinal Paak kriet outa rofli skwier mail a wildanis we supuot touzn pah touzn a chrii ah foern spiishiz ah rier animal,26
"Az Ilizibet II shier az ed a stiet fi fiftiin ada konchri ah rizaid muotaim ina di Yunaitid Kindom, so shi riprizent az Kwiin a Jumieka ina Jumieka ah a farin bai di [[Gobna-Jinaral a Jumieka]].",Az Ilizibet II shier az ed a stiet fi fiftiin ada konchri ah rizaid muotaim ina di Yunaitid Kindom so shi riprizent az Kwiin a Jumieka ina Jumieka ah a farin bai di GobnaJinaral_a_Jumieka,34
Di gobna-jinaral get naminiet bai di [[Praim Minista a Jumieka]] ah di wuol Kiabinet ah apaint bai di manak.,Di gobnajinaral get naminiet bai di Praim_Minista_a_Jumieka ah di wuol Kiabinet ah apaint bai di manak,16
"Ikom ina fuos wid di [[Jumieka Indipendans]] Ak, 1962 (Jamaica Independence Act, 1962) a di [[Yunaitid Kindom]] paaliment, we gi Jumieka indipendans.",Ikom ina fuos wid di Jumieka_Indipendans Ak a di Yunaitid Kindom paaliment we gi Jumieka indipendans,16
Di korant Praim Minista a [[Jumieka]] a Anju [[Maikal]] Uolnis uu get inaagiuriet pah 3 Maach 2016.,Di korant Praim Minista a Jumieka a Anju Maikal Uolnis uu get inaagiuriet pah Maach,15
Praim Minista Uolnis ak az di Ed a Govament a [[Jumieka]].,Praim Minista Uolnis ak az di Ed a Govament a Jumieka,11
[[Jumieka]] brokop [[ina]] fuotiin parish.,Jumieka brokop ina fuotiin parish,5
"Di parishdem gruupop [[ina]] [[chrii]] istarik kounti, we no ab no adminischrietiv relivans: Kaanwal, Miglsex ah Sori.",Di parishdem gruupop ina chrii istarik kounti we no ab no adminischrietiv relivans Kaanwal Miglsex ah Sori,17
"Adishanal militchri skuul avielobl fi speshalti chrienin ina [[Kianada]], di [[Yunaitid Stiet]] ah di [[Yunaitid Kindom]].",Adishanal militchri skuul avielobl fi speshalti chrienin ina Kianada di Yunaitid Stiet ah di Yunaitid Kindom,16
[34] Di Wes India Rejiment eh yuuz extensivli bai di [[British Empaya]] fi poliis di empaya frah 1795 tu 1926.,Di Wes India Rejiment eh yuuz extensivli bai di British_Empaya fi poliis di empaya frah tu,16
"Adaels yuunit ina di JDF eritij ingkluud di hoerli koluonial Jumieka Milisha, die Kinston Infanchri Valiuntier a [[Wol Waar I]] ah ryaaganaiz in di Jumiekan Infanchri Valiuntier ina [[Wol Waar II]].",Adaels yuunit ina di JDF eritij ingkluud di hoerli koluonial Jumieka Milisha die Kinston Infanchri Valiuntier a Wol_Waar_I ah ryaaganaiz in di Jumiekan Infanchri Valiuntier ina Wol Waar II,29
"Di Wes Indiz Rejiment eh rifaam ina 1958 az paat a di [[Wes Indiz Fedarieshan]], ah afta disoluushan a di Fedarieshan deh extablish di JDF.",Di Wes Indiz Rejiment eh rifaam ina az paat a di Wes_Indiz_Fedarieshan ah afta disoluushan a di Fedarieshan deh extablish di JDF,22
"Di [[Jumieka Difens Fuos]] ([[JDF]]) kompraiz wah infanchri Rejiment ah Rizoerv Kuor, wah Ier Wing, wah Kuos Gyaad fliit ah wah supuotin Injinierin Yuunit.",Di Jumieka_Difens_Fuos kompraiz wah infanchri Rejiment ah Rizoerv Kuor wah Ier Wing wah Kuos Gyaad fliit ah wah supuotin Injinierin Yuunit,21
"Di JDF Ier Wing divaid ina [[chrii]] flait yuunit, wah chrienin yuunit, wah supuot yuunit ah di JDF Ier Wing (Nashinal Rizoerv).",Di JDF Ier Wing divaid ina chrii flait yuunit wah chrienin yuunit wah supuot yuunit ah di JDF Ier Wing,20
[36] Di ruol a di supuot batalian a fi provaid supuot fi buus nomba ina kombat ah ishiu kampitensi chrienin fi [[mek]] shuor a di redinis a di fuos.,Di ruol a di supuot batalian a fi provaid supuot fi buus nomba ina kombat ah ishiu kampitensi chrienin fi mek shuor a di redinis a di fuos,28
"[38] Di Edkwaata [[JDF]] kantien di [[JDF]] Komaanda, Komaan Staaf azwel Intelijens, Joj Advoket afis, Adminischrietiv ah Prokyuorment sekshan.",Di Edkwaata JDF kantien di JDF Komaanda Komaan Staaf azwel Intelijens Joj Advoket afis Adminischrietiv ah Prokyuorment sekshan,18
"[39] Ina riisent ier deh kaal pah di JDF fi asis di nieshan poliis, di [[Jumieka Kanstabileri Fuos]] (JKF), fi fait jrog smoglin ah raizin kraim riet weh ingkluud wan a di ayis moerda riet ina di wol.",Ina riisent ier deh kaal pah di JDF fi asis di nieshan poliis di Jumieka_Kanstabileri_Fuos fi fait jrog smoglin ah raizin kraim riet weh ingkluud wan a di ayis moerda riet ina di wol,34
"Muos a di Jumiekan blak papiulieshan a Afrikan ar paashal Afrikan disent wid nof a dem iebl fi chries deh arijin tu Wes Afrika, azwel tu [[Yuurop]] ah [[Ieja]].",Muos a di Jumiekan blak papiulieshan a Afrikan ar paashal Afrikan disent wid nof a dem iebl fi chries deh arijin tu Wes Afrika azwel tu Yuurop ah Ieja,29
"Ina riistant ier, imigrieshan inkriis, a-kom mienli frah [[Chaina]], [[Ieti]], [[Kyuuba]], [[Kolombia]], ah Latn Amoerkan konchri; 20,000 Latn Amoerkan rizaid ina Jumieka.",Ina riistant ier imigrieshan inkriis akom mienli frah Chaina Ieti Kyuuba Kolombia ah Latn Amoerkan konchri Latn Amoerkan rizaid ina Jumieka,21
"Jumiekan praimerili spiik wah Ingglish-Afrikan Kryuol languij nuo az [[Jumiekan Kryuol]] ar Patwa, we nof a di wol nuo chuu di pred a Rege myuuzik.",Jumiekan praimerili spiik wah IngglishAfrikan Kryuol languij nuo az Jumiekan_Kryuol ar Patwa we nof a di wol nuo chuu di pred a Rege myuuzik,24
"Nof Jumiekan eh-emigriet tu ada konchri, espeshal tu di [[Yunaitid Kindom]], di [[Yunaitid Stiet]], ah [[Kianada]].",Nof Jumiekan ehemigriet tu ada konchri espeshal tu di Yunaitid_Kindom di Yunaitid Stiet ah Kianada,15
Jumiekandem azwel emigriet go a [[Kyuuba]].,Jumiekandem azwel emigriet go a Kyuuba,6
"Di skiel a emigrieshan predout aal uoba di wol simila tu ada Kiaribiyan entiti laka [[Puoto Riiko]], [[Gayana]], ah di [[Ba'aamaz]].",Di skiel a emigrieshan predout aal uoba di wol simila tu ada Kiaribiyan entiti laka Puoto_Riiko Gayana ah di Baaamaz,20
"Kansenchrieshan a expachriet Jumiekan de pempem ina wuoliip a siti ina di Yunaitid Stiet, ingkluudn [[Nyuu Yaak Siti]] (New York City), Bofalo (Buffalo), di Mayami (Miami) mechro ieria, Atlanta, Chikaago (Chicago), Aalando (Orlando), Tampa, Washintan (Washington), D.C., Filidelfia (Philadelphia), Aatfod (Hartford), Pravidens (Providence) ah Las Anjiliiz (Los Angeles).",Kansenchrieshan a expachriet Jumiekan de pempem ina wuoliip a siti ina di Yunaitid Stiet ingkluudn Nyuu_Yaak_Siti Bofalo di Mayami mechro ieria Atlanta Chikaago Aalando Tampa Washintan DC Filidelfia Aatfod Pravidens ah Las Anjiliiz,33
"[[Jumieka]] eh ab wan a di ayis moerda riet ina di wol fi nof ier, askaadn tu [[UN]] estimet.",Jumieka eh ab wan a di ayis moerda riet ina di wol fi nof ier askaadn tu UN estimet,19
"[63][64] Soh ieria a [[Jumieka]], espeshal siti laka [[Kinston]], expiirians ai lebl a kraim ah voilens.",Soh ieria a Jumieka espeshal siti laka Kinston expiirians ai lebl a kraim ah voilens,15
"[66] Sieka wuoliip a mab atak gens gie piipl wa get repuot,[67][68][69] yuuman-raits gruup kaal [[Jumieka]] ""the most homophobic place on earth.",Sieka wuoliip a mab atak gens gie piipl wa get repuot yuumanraits gruup kaal Jumieka the most homophobic place on earth,21
[[Kristianiti]] a di rilijan wid di bigis falarin ina Jumieka.,Kristianiti a di rilijan wid di bigis falarin ina Jumieka,10
"Adaels rilijan ina Jumieka ingkluud Jyuova Wiknis (2% papilieshan), di Ba'ai fiet, we kount maitbi 8,000 adierent[79] ah 21 Luokal Spirichual Asembli, [[Budizim]], ah [[Induizim]].",Adaels rilijan ina Jumieka ingkluud Jyuova Wiknis di Baai fiet we kount maitbi adierent ah Luokal Spirichual Asembli Budizim ah Induizim,21
[82] Die fos Juudem ina Jumieka kiah chries deh ruut bak tu hoerli 15t senchri [[Spien]] ah Puortigal.,Die fos Juudem ina Jumieka kiah chries deh ruut bak tu hoerli t senchri Spien ah Puortigal,17
[[Praya]] tu imansipieshan onggl wan ah tuu skuul de fi edkiet luokal piipl.,Praya tu imansipieshan onggl wan ah tuu skuul de fi edkiet luokal piipl,13
