qcode	count	label	qcodes_broader
Q992068	32	Huachuca City	['Q15127012']
Q943998	24	Plum	['Q777120']
Q1659236	10	Helvetia	['Q15127012']
Q404459	22	Antequera	['Q24764']
Q79653	44	Fort Payne	['Q62049', 'Q1093829']
Q288425	24	The Hunchback of Notre Dame	['Q11424']
Q1894600	23	Estherwood	['Q751708']
Q3543465	8	Yuriko Hishimi	['Q5']
Q2008939	21	Flemington	['Q751708']
Q3235821	3	Les Tribulations d'une caissière	['Q11424']
Q3754994	14	Synodontis longirostris	['Q16521']
Q152365	40	Ludmilla Radchenko	['Q5']
Q2303273	32	Florence	['Q15127012']
Q1183748	23	Oakdale	['Q777120']
Q2096172	23	Griffin	['Q15127012']
Q3806999	8	Jane Eyre	['Q24862']
Q173438	19	Kalamansig	['Q24764']
Q23913	128	861	['Q577']
Q191651	30	Masbate City	['Q106078286']
Q981644	21	Thorntonville	['Q15127012']
Q648153	21	Point Marion	['Q777120']
Q2419045	20	Strafford	['Q15127012']
Q61107816	1	Paul Antoine	['Q5']
Q130578	10	Divinity II	['Q7889']
Q172383	78	Sylvester II	['Q5']
Q1650447	37	Carratraca	['Q2074737']
Q3063025	6	Muchachitas como tú	['Q5398426']
Q986928	40	Rancho Cordova	['Q1093829']
Q3708350	17	Kirkwood	['Q15127012', 'Q106071004']
Q97	246	Atlantic Ocean	['Q9430']
Q6513610	5	Lee Flynn	['Q5']
Q194900	23	Basay	['Q24764']
Q28017164	4	Eugène Roger	['Q5']
Q482988	80	Poland Is Not Yet Lost	['Q23691']
Q927620	19	Lena	['Q15221242']
Q12890828	1	Fritz Saint Jean	['Q5']
Q1622282	32	Escobar de Campos	['Q2074737']
Q564593	40	Albuñán	['Q2074737']
Q20563564	1	Victor Marcellus	['Q5']
Q1814306	33	Turner	['Q63440326']
Q1064912	17	Charles Howard Hinton	['Q5']
Q12894538	1	Monique Clesca	['Q5']
Q2238611	22	Silerton	['Q15127012']
Q381136	47	shareholder	['Q214339', 'Q12737077']
Q6261	136	1373	['Q577']
Q2057928	19	Wolcott	['Q2154459']
Q3240472	26	Hollywood	['Q15127012']
Q1657678	12	Alvin	['Q15219655']
Q2345413	29	Hardtner	['Q1093829']
Q982592	31	Rocksprings	['Q15127012']
Q12886856	2	1778	['Q4167410']
Q1898623	25	Waterford	['Q15127012']
Q3709812	4	Grooverville	['Q17343829']
Q1013985	31	Indialantic	['Q15127012']
Q985257	38	Rio Vista	['Q486972', 'Q1093829']
Q1285333	20	Catherine	['Q498162', 'Q17343829']
Q648503	34	Shanksville	['Q777120']
Q1850808	23	Tennessee Ridge	['Q15127012']
Q11911392	1	Camí de Sant Sebastià	['Q5004679']
Q3708700	13	Porter	['Q15127012', 'Q106071004']
Q2852396	11	Anouchka Delon	['Q5']
Q6164143	3	Viva la Pepa	['Q5398426']
Q2229450	32	New Munich	['Q1093829']
Q18642704	1	Margarite Fernández Olmos	['Q5']
Q2263213	33	Sheffield Lake	['Q1093829']
Q314632	22	Governor Generoso	['Q24764']
Q915301	9	Felix Berezin	['Q5']
Q943561	13	Thomas Kirkman	['Q5']
Q482822	40	Murray	['Q1093829']
Q2475734	26	Unicoi	['Q15127012']
Q12891690	1	Isabela de Sagua	['Q486972']
Q994446	36	Federal Heights	['Q1093829']
Q3600052	7	891	['Q4167410']
Q3337787	2	Neige Dolsky	['Q5']
Q1182159	25	Yoe	['Q777120']
Q1087039	17	The Bait	['Q11424']
Q1385051	12	Norman Steenrod	['Q5']
Q2028875	28	Marion	['Q62049', 'Q1093829']
Q111707	24	San Vicente	['Q24764']
Q982068	28	Horseshoe Bay	['Q1093829']
Q337152	12	René Féret	['Q5']
Q6631	141	1481	['Q577']
Q980055	36	Missouri City	['Q1093829']
Q3452815	19	Jordan	['Q751708', 'Q55237813']
Q182991	23	Benjamin Biolay	['Q5']
Q7564339	3	Soul Syndicate	['Q215380']
Q37116	108	AK-47	['Q22704163']
Q1185389	21	Newell	['Q777120']
Q10385027	31	Groton	['Q2154459']
Q2114394	32	½	['Q263865', 'Q1136880']
Q62859	40	Cañada Rosal	['Q2074737']
Q2348734	35	Decatur	['Q1093829']
Q2965692	10	Christian Vincent	['Q5']
Q2232359	31	Cottonwood Falls	['Q1093829']
Q3092525	6	Félix Marten	['Q5']
Q1076493	28	267	['Q21199', 'Q50707', 'Q13366129']
Q4319	75	list of languages by number of native speakers	['Q13406463']
Q23505	185	George H. W. Bush	['Q5']
Q2053087	29	Cobbtown	['Q1093829', 'Q76514543']
Q5826208	4	El precio de la fama	['Q5398426']
Q3478142	4	Crow	['Q17343829']
Q3135198	8	Hichem Yacoubi	['Q5']
Q2102240	23	Volo	['Q751708']
Q3708215	12	Horicon	['Q15127012', 'Q106071004']
Q11474	14	plastic	['Q1783121']
Q30056	88	Daucus carota	['Q16521', 'Q189774']
Q1020709	26	Catbalogan	['Q106078286']
Q263178	24	Julie Dreyfus	['Q5']
Q330678	41	Prineville	['Q62049', 'Q63440326']
Q1184961	21	McVeytown	['Q777120']
Q214045	6	dwarf	['Q24533670', 'Q63046488']
Q186481	72	Riccardo Giacconi	['Q5']
Q3172413	21	Morristown	['Q15127012']
Q1942741	23	Crookston	['Q751708']
Q156263	21	Siasi	['Q24764']
Q346857	9	Aurélien Recoing	['Q5']
Q1673262	7	Irvin Cohen	['Q5']
Q971105	27	El Cenizo	['Q1093829']
Q30329	122	480	['Q577']
Q1892691	25	Hampton	['Q751708']
Q179873	62	С	['Q3841820', 'Q19793988']
Q83908	18	NMOS logic	['Q11456', 'Q1815901']
Q968774	21	Parral	['Q751708']
Q2195083	22	Rockdale	['Q751708']
Q627848	13	Vanessa Villela	['Q5']
Q586715	11	Julieta Díaz	['Q5']
Q70437467	4	Aloïse Sauvage	['Q5']
Q3600117	7	906	['Q4167410']
Q2244926	22	Old Mill Creek	['Q751708']
Q524732	22	Lyndhurst	['Q7830213']
Q2549885	24	New Richmond	['Q486972', 'Q15127012']
Q3098578	4	Gary Klang	['Q5']
Q836646	22	Ladislaus Bortkiewicz	['Q5']
Q662804	30	Marble	['Q15127012']
Q12886913	3	1880	['Q4167410']
Q16946150	1	Emmanuel Pierre-Charles	['Q5']
Q2184692	23	Newberry	['Q15127012']
Q3709957	13	Eureka	['Q15127012']
Q963991	29	Highlandville	['Q1093829']
Q979165	32	Gordon	['Q1093829']
Q12887601	1	ensure	['Q24905']
Q11024	13	communication	['Q921513', 'Q1413287', 'Q61788060']
Q976290	27	Manville	['Q15127012']
Q6692417	8	Lovers	['Q15416']
Q5629848	5	HIV/AIDS in Haiti	['Q98379923']
Q30779	122	207	['Q577']
Q223766	91	P. T. Barnum	['Q5']
Q18642641	1	Syto Cavé	['Q5']
Q129	1	Thursday	['Q41825']
Q78107	8	Peter Adolf Thiessen	['Q5']
Q1028769	28	Encampment	['Q15127012']
Q2818490	19	83	['Q4167410']
Q436894	24	Annabella	['Q5']
Q502250	49	Staunton	['Q1266818']
Q54592	24	Hagonoy	['Q24764']
Q33856	76	Papiamento	['Q33289', 'Q33742', 'Q34770', 'Q1288568']
Q1181260	24	Gordon	['Q777120']
Q980	196	Bavaria	['Q1221156']
Q992087	37	Kemmerer	['Q62049', 'Q1093829']
Q2027796	22	Cajah's Mountain	['Q15127012']
Q1554144	8	Guire Poulard	['Q5']
Q943977	40	Guadalcanal	['Q2074737']
Q2112240	10	Linouse Desravine	['Q5']
Q2516894	22	Goreville	['Q751708']
Q5508	137	1260	['Q577']
Q3710625	13	Bennington	['Q15127012', 'Q106071004']
Q192017	55	Monument Valley	['Q570116', 'Q749565']
Q1526781	14	Girlfriends	['Q5398426']
Q767437	19	Jean Ray	['Q5']
Q3825	150	Libreville	['Q515', 'Q5119', 'Q1549591', 'Q2264924']
Q829419	15	863	['Q21199', 'Q49008', 'Q13366129']
Q3341044	5	Nicole Ferroni	['Q5']
Q12258	74	Sabadell	['Q515', 'Q192611', 'Q1549591', 'Q33146843']
Q12886440	6	1090	['Q4167410']
Q2162142	15	Saint-Louis-du-Nord	['Q3685462']
Q2737	83	Louis de Funès	['Q5']
Q12892053	1	Joelle Vitiello	['Q5']
Q2863424	2	Arny Berry	['Q5']
Q395899	11	148	['Q4167410']
Q79346	33	Rainsville (Ala.)	['Q1093829']
Q1275022	20	Shelby	['Q498162']
Q60537	54	Napa	['Q1093829', 'Q13218391']
Q1933602	34	Dows	['Q1093829']
Q2063962	28	Chesterfield	['Q62049', 'Q15127012']
Q782031	16	843	['Q21199', 'Q50707', 'Q13366129']
Q3501753	14	Carlisle	['Q15127012', 'Q106071004']
Q755116	44	Guairá Department	['Q815068']
Q957934	39	Crown Point	['Q62049', 'Q1093829']
Q2673168	22	Wakeman	['Q751708']
Q850869	48	San Marino	['Q1093829']
Q5968290	6	La traición	['Q5398426']
Q104839812	3	The Wannabes	['Q11424']
Q4029513	5	1930	['Q4167410']
Q2609667	21	Walworth	['Q15221242']
Q1008625	32	Walcott	['Q1093829']
Q61107400	1	Nathalie Ambroise	['Q5']
Q16744071	12	La Malquerida	['Q5398426']
Q31168	116	426	['Q577']
Q84353735	11	Rogue City	['Q11424']
Q959029	29	Lima	['Q15127012']
Q65735	30	West Jefferson	['Q486972']
Q2828925	2	Akamassa	['Q215380']
Q79716	42	Whittier	['Q1093829']
Q1398	224	Virgil	['Q5']
Q41840	90	.ph	['Q42032']
Q16946783	1	Leighton Henry	['Q5']
Q48362	96	Mahāyāna	['Q13414953', 'Q15489667', 'Q17362054']
Q430690	18	663	['Q21199', 'Q50707', 'Q13366129']
Q2852400	9	Anouk Ferjac	['Q5']
Q6003873	4	María Guadalupe	['Q5398426']
Q2123264	21	quincunx	['Q2083958']
Q200	179	2	['Q11606', 'Q21199', 'Q47577', 'Q49008', 'Q599093', 'Q624025', 'Q816063', 'Q898675', 'Q973861', 'Q1103699', 'Q1136880', 'Q1462591', 'Q1486643', 'Q2915234', 'Q12786684', 'Q13366104', 'Q28920052']
Q9252	1	Kazakh	['Q34770', 'Q1288568']
Q1376645	27	Orange	['Q62049', 'Q15127012']
Q16946279	1	Fritz Daguillard	['Q5']
Q3893458	7	Bill Parry	['Q5']
Q2432529	21	Homecroft	['Q15127012']
Q1961758	10	Moon in the Gutter	['Q11424']
Q1933878	32	Frazee	['Q1093829']
Q3288835	4	Marcel Cuvelier	['Q5']
Q962400	30	Brookfield	['Q1093829']
Q982654	28	Hooks	['Q1093829']
Q16562	115	El Paso	['Q62049', 'Q902814', 'Q1093829', 'Q1549591']
Q40302	129	The Fox and the Hound	['Q29168811']
Q3242623	9	Lisset	['Q5']
Q604851	38	Wauseon	['Q62049', 'Q1093829']
Q19697	140	Motörhead	['Q5741069']
Q27892464	2	Philippe Hannibal Price	['Q5']
Q6155921	2	Una voz en el teléfono	['Q5398426']
Q976013	26	Big Wells	['Q1093829']
Q3473974	4	Alvadore	['Q17343829']
Q2286479	30	Renova	['Q15127012']
Q3569718	19	Fallsburg	['Q15127012', 'Q106071004']
Q553176	33	Vladimir Fock	['Q5']
Q724686	18	Walter Lini	['Q5']
Q340653	62	Badesi	['Q747074']
Q2219320	18	Abrams	['Q15219655']
Q650	162	fluorine	['Q11344']
Q432707	15	Leb i sol	['Q215380']
Q3284115	29	McLemoresville	['Q15127012']
Q30000	126	119	['Q577']
Q20993777	2	Laurent Biras	['Q5']
Q12887178	1	Albertini Armand	['Q5']
Q2007009	27	Roseville	['Q751708']
Q2537019	21	Hubbardston	['Q15127012']
Q19885452	4	The Murderer is Not Guilty	['Q11424']
Q16946629	1	Jean-Max Calvin	['Q5']
Q490720	67	Biloxi	['Q1093829']
Q53479047	3	Sophie Dupuis	['Q5']
Q3709687	14	York	['Q15127012', 'Q106071004']
Q665011	28	Bedford	['Q2154459']
Q517681	28	Newbern	['Q15127012']
Q962953	29	Rexford	['Q15127012']
Q267212	26	Millersville	['Q1093829']
Q3536709	4	Liévano–Brutus treaty	['Q4157074']
Q32894	119	538	['Q577']
Q2336351	21	Coalton	['Q751708']
Q131427	58	autotroph	['Q902805']
Q1925105	29	Moline	['Q1093829']
Q34043	116	559	['Q577']
Q6791270	2	Matthew Stephens	['Q5']
Q12889536	1	Desmangles Kenny	['Q5']
Q2022717	22	Seagrove	['Q15127012']
Q977252	24	Impact	['Q15127012']
Q3088651	7	Dominican Republic–Haiti border	['Q133346', 'Q3089219', 'Q12413618', 'Q15104814']
Q2914808	14	birth order	['Q12893838']
Q20050564	2	1495	['Q4167410']
Q580012	20	550	['Q21199', 'Q50707', 'Q2708903', 'Q13366104', 'Q18455108']
Q1641893	32	Morton Grove	['Q751708']
Q1166572	16	44	['Q4167410']
Q7149100	2	Paul Arcelin	['Q5']
Q816423	24	Ben Avon	['Q777120']
Q913543	46	Watsonville	['Q1093829', 'Q3559093', 'Q13218391']
Q12898327	1	Willia Jean Baptiste	['Q5']
Q2528246	24	Ridgecrest	['Q15127012']
Q1605237	7	Clive Chin	['Q5']
Q39671	123	Stonehenge	['Q570116', 'Q839954', 'Q935773', 'Q1935728', 'Q4989906']
Q1491916	16	688	['Q21199', 'Q50707', 'Q13366104']
Q90677950	2	Khalima Gadji	['Q5']
Q954162	30	Silsbee	['Q1093829']
Q2923621	28	Decaturville	['Q15127012']
Q1181149	22	Port Matilda	['Q777120']
Q1183174	21	Laurel Run	['Q777120']
Q989448	35	Lamoni	['Q1093829']
Q12897178	1	Scott Williams	['Q5']
Q131077	78	Yukio Hatoyama	['Q5']
Q21064839	5	Celia	['Q5398426']
Q3261840	25	Maysville	['Q486972', 'Q15127012', 'Q76514543']
Q79595	34	East Brewton	['Q1093829']
Q940571	25	316	['Q21199', 'Q50707', 'Q190890', 'Q940343', 'Q13366104', 'Q18449456']
Q12890347	1	Emile Naroyanin	['Q5']
Q154874	79	yellow fever	['Q506680', 'Q18123741', 'Q112193867', 'Q112965645']
Q31611	119	473	['Q577']
Q2629951	25	Loda	['Q532']
Q2953523	25	Porum	['Q15127012']
Q24937244	5	The New Life of Paul Sneijder	['Q11424']
Q5413044	3	Curaçao Sea Aquarium	['Q2281788']
Q1186376	29	Hermitage	['Q5888666', 'Q21010817']
Q951360	22	El privilegio de amar	['Q5398426']
Q829730	68	Aldealseñor	['Q2074737']
Q12886769	2	1650	['Q4167410']
Q2431755	21	Tyringham	['Q15127012']
Q2534635	23	North Brookfield	['Q15127012']
Q2844887	25	Vienna	['Q15127012']
Q1761214	31	Tinley Park	['Q751708']
Q981582	23	Draper	['Q15127012']
Q12889189	3	Corona, Cuba	['Q486972']
Q1083703	28	Audubon	['Q2911266']
Q17015178	20	Reichskommissariat of Belgium and Northern France	['Q543813']
Q12891940	1	Jean Willy Gerdes	['Q5']
Q620118	29	Fabrice Luchini	['Q5']
Q3544573	7	Enrique Álvarez Félix	['Q5']
Q1437134	16	Quarter	['Q4167410']
Q2243076	26	Leona	['Q1093829']
Q1570227	29	Buffalo City	['Q532', 'Q15221373']
Q1887305	9	Rock Creek	['Q15219655']
Q829225	86	Adradas	['Q2074737']
Q3317018	4	Misty Jean	['Q5']
Q41006	88	.cu	['Q42032']
Q104033765	7	Vicky and Her Mystery	['Q11424']
Q962816	30	Clarkson Valley	['Q1093829']
Q399785	10	717	['Q4167410']
Q12886786	2	1673	['Q4167410']
Q1014190	19	Saltaire	['Q3957']
Q328474	11	Percy John Daniell	['Q5']
Q15948881	6	France–Haiti relations	['Q15221623']
Q2244249	33	Monte Vista	['Q1093829']
Q5334	112	Saratov Oblast	['Q835714']
Q16187620	18	Joan Carreras i Goicoechea	['Q5']
Q19911760	4	Pili Groyne	['Q5']
Q3319905	2	My Brother Is Getting Married	['Q11424']
Q1530593	22	Dayanara Torres	['Q5']
Q28125	29	Flasher	['Q1093829']
Q969309	27	Talco	['Q1093829']
Q189608	1	Zenith Z-171	['Q751046', 'Q1820120']
Q3544089	5	Momoko Shibuya	['Q5']
Q12889473	1	Delphine Perret	['Q5']
Q273744	20	Buadiposo-Buntong	['Q24764']
Q1183461	24	Schuylkill Haven	['Q777120']
Q659938	24	Eden	['Q751708']
Q1132790	25	Baldwin	['Q777120']
Q16138936	3	Somsak Prissanananthakul	['Q5']
Q36091	135	Minneapolis	['Q62049', 'Q1093829', 'Q1549591', 'Q51929311']
Q38567535	12	Confession Couple	['Q1366112', 'Q5398426']
Q62391329	2	David Roux	['Q5']
Q821245	19	Berlin	['Q2154459']
Q183816	160	master's degree	['Q18189', 'Q4218455', 'Q26269989']
Q7128106	3	Palm nut	['Q4167410']
Q2668548	23	Smithville, Ohio	['Q751708']
Q3452395	18	Islandia	['Q751708', 'Q55237813']
Q3226974	4	Le schpountz	['Q11424']
Q1492286	18	808	['Q21199', 'Q50707', 'Q754831', 'Q13366104']
Q1511364	27	Kingston	['Q498162']
Q7385419	3	Ryszard Syski	['Q5']
Q986302	42	Montevideo	['Q1093829']
Q574340	37	Las Gabias	['Q2074737']
Q966156	36	Town and Country	['Q1093829']
Q20145	59	IU	['Q5']
Q1569456	28	Owen	['Q532', 'Q15221373']
Q3709392	8	Lillian	['Q498162']
Q31721284	1	Serge Bayala	['Q5']
Q24091442	2	Soledad	['Q15416']
Q14056	106	Jan Mayen	['Q23442', 'Q28575', 'Q10864048', 'Q26934845']
Q2046840	24	Monrovia	['Q15127012']
Q19678	134	1167	['Q577']
Q345	1	Virgin Mary	['Q20643955']
Q28494359	2	District 31	['Q5398426']
Q9317	163	John Maynard Keynes	['Q5']
Q1926396	35	Parnell	['Q1093829']
Q12891043	1	Gift Muchatibaya	['Q5']
Q61639555	4	La gloria de Lucho	['Q15416']
Q2808	103	Elton John	['Q5']
Q2346815	31	Bovey	['Q1093829']
Q2156221	37	Springfield	['Q1093829']
Q979309	29	Newcastle	['Q1093829']
Q13275	103	Somali	['Q34770', 'Q1288568']
Q20044931	6	1036	['Q4167410']
Q356292	21	Pontevedra	['Q24764']
Q3708429	16	Williamstown	['Q15127012', 'Q106071004']
Q982341	28	Terrell Hills	['Q1093829']
Q23339	143	9	['Q577']
Q6518	141	1457	['Q577']
Q2429670	28	Canton	['Q15127012']
Q20578001	1	Barfield	['Q486972']
Q12893584	1	Lonnie Keith	['Q5']
Q2754315	30	Colbert	['Q1093829', 'Q76514543']
Q12894241	1	Maurice Casséus	['Q5']
Q598567	40	Yucaipa	['Q1093829']
Q1615372	33	Peranzanes	['Q2074737']
Q55595776	22	Benedetta	['Q11424']
Q769215	38	243	['Q21199', 'Q50707', 'Q10549775', 'Q13366129', 'Q96399905']
Q1913522	35	Sidney	['Q62049', 'Q1093829']
Q7321440	11	Rhopalostylis baueri	['Q16521']
Q392599	56	Everett	['Q62049', 'Q1093829', 'Q1549591']
Q454494	21	Ari Graynor	['Q5']
Q1291059	13	Azela Robinson Midoool	['Q5']
Q371948	26	Serge Lang	['Q5']
Q9747	135	U	['Q9398093', 'Q19776628']
Q20561670	1	Rejin Leys	['Q5']
Q79829	42	Apache Junction	['Q1093829']
Q18578093	15	Onema Grace Geyoro	['Q5']
Q1082542	27	Interlaken	['Q2911266']
Q16945843	1	Bernard Sansaricq	['Q5']
Q1903871	27	Horace	['Q1093829']
Q55598514	2	Marc Samuel	['Q5']
Q13625	79	Vibo Valentia	['Q515', 'Q747074']
Q201928	63	amoxicillin	['Q11173', 'Q12140', 'Q12190', 'Q35456', 'Q134856', 'Q113681859']
Q17377642	1	Valery	['Q5']
Q572294	30	anthelmintic	['Q41014950']
Q588834	46	Union City	['Q2974552']
Q3288970	25	Hendrix	['Q15127012']
Q16946296	1	Fritzner Lamour	['Q5']
Q6148	148	1504	['Q577']
Q3032753	2	Djamatik	['Q5']
Q606929	9	Maurice Dugowson	['Q5']
Q356338	21	Sapian	['Q24764']
Q2483637	25	Calhoun Falls	['Q15127012']
Q323238	29	Gaston Julia	['Q5']
Q7789604	8	Thomas Fiske	['Q5']
Q12895903	1	Quddus	['Q5']
Q107450	68	Frank Wilczek	['Q5']
Q6338760	8	El maleficio	['Q5398426']
Q1031374	16	Gérard Pirès	['Q5']
Q29364	134	Montgomery	['Q62049', 'Q1093829', 'Q1549591', 'Q21518270']
Q3123220	11	Pompée Valentin Vastey	['Q5']
Q1	1	universe	['Q36906466']
Q2702125	20	Redkey	['Q486972']
Q12894611	1	Morin Gabriel	['Q5']
Q782861	31	Livermore	['Q1093829']
Q2246848	23	Allerton	['Q751708']
Q2740439	24	Howland	['Q15127012']
Q986894	38	Capitola	['Q1093829']
Q12890994	1	Georges Conde	['Q5']
Q435312	23	Molly Parker	['Q5']
Q3189158	3	Julie Bataille	['Q5']
Q1004755	34	Maumee	['Q1093829']
Q580	130	Łódź	['Q515', 'Q925381', 'Q1549591']
Q273882	18	Kapatagan	['Q24764']
Q2022994	22	Navassa	['Q15127012']
Q723293	20	Miyabi Natsuyaki	['Q5']
Q2572385	20	Chaplin	['Q15127012']
Q14947419	9	Gabrielle	['Q11424']
Q990940	39	Oxford	['Q1093829']
Q745045	19	Mikio Aoki	['Q5']
Q3286702	11	Manu Payet	['Q5']
Q277068	29	Bellwood	['Q532']
Q1131779	26	Hanover Parish	['Q936955']
Q2896171	46	Benjamin Mendy	['Q5']
Q6116790	3	Safi, la petite mère	['Q11424']
Q3708716	17	Carlton	['Q15127012', 'Q106071004']
Q12886840	2	1743	['Q4167410']
Q24239	129	905	['Q577']
Q630677	37	El Dorado	['Q62049', 'Q1093829']
Q3240464	25	Langford	['Q15127012']
Q205707	133	Bradley Cooper	['Q5']
Q575394	34	Winchester	['Q62049', 'Q1093829']
Q23456	131	37	['Q577']
Q6277	137	1375	['Q577']
Q488869	61	Benalmádena	['Q2074737', 'Q2264924']
Q846047	2	history of music	['Q17524420']
Q2261392	21	Madagascar	['Q196600']
Q560895	21	Gérard Latortue	['Q5']
Q2818469	9	811	['Q4167410']
Q273928	19	Lumbayanague	['Q24764']
Q1029882	30	Lovell	['Q15127012']
Q2097325	33	Lilburn	['Q1093829', 'Q76514543']
Q2354644	29	Portland	['Q1093829']
Q1774796	9	Obeah	['Q756820']
Q2469351	27	Fair Oaks	['Q15127012']
Q3073930	14	Florence	['Q15219655']
Q535420	21	Sellersville	['Q777120']
Q344939	24	Acworth	['Q15127012']
Q32247	119	581	['Q577']
Q674929	16	Smoking/No Smoking	['Q336144']
Q2785870	26	Cedar Mill	['Q498162', 'Q17343829']
Q14913614	10	Julia Faure	['Q5']
Q912578	35	244	['Q21199', 'Q50707', 'Q13366104']
Q3450994	21	Wells	['Q2154459']
Q1048	273	Julius Caesar	['Q5']
Q2135060	28	Gas	['Q1093829']
Q194916	21	Bindoy	['Q24764']
Q2613293	26	Faxon	['Q486972']
Q511485	11	Joséphine de Meaux	['Q5']
Q61107800	1	Christian Emmanuel Plancher	['Q5']
Q601829	23	Roswell	['Q486972']
Q2323283	22	Empire	['Q751708']
Q1356820	16	Willem Hendrik Keesom	['Q5']
Q3708346	16	Lapeer	['Q15127012', 'Q106071004']
Q3451686	19	Berwick	['Q2154459']
Q3083267	9	Valentín Pimstein	['Q5']
Q981652	22	Windom	['Q15127012']
Q2847478	2	André Champagne	['Q5']
Q3310118	24	Milledgeville	['Q486972', 'Q15127012']
Q19854771	15	Scholar Who Walks the Night	['Q5398426']
Q23905	131	877	['Q577']
Q798996	31	Badger	['Q1093829']
Q2199409	22	Dunfermline	['Q751708']
Q851628	21	506	['Q18949', 'Q21199', 'Q50707', 'Q1486643', 'Q13366104', 'Q18450836']
Q68054	14	Gudrun Landgrebe	['Q5']
Q449033	37	Alvin	['Q1093829']
Q2076330	33	Cedaredge	['Q15127012']
Q975015	14	La Casita-Garciasville	['Q498162']
Q275956	40	Saint Seiya	['Q21198342']
Q5865693	3	history of Norfolk Island	['Q17524420']
Q773527	46	Winona	['Q1093829']
Q79645	37	Crossett	['Q1093829']
Q889100	11	Joseph Davilmar Théodore	['Q5']
Q979	143	polonium	['Q11344', 'Q113681859']
Q3144472	13	Hyènes	['Q11424']
Q953577	23	Argyle	['Q751708']
Q3811749	5	Jéssica Sanjuán	['Q5']
Q978627	20	Cuevitas	['Q498162']
Q1570118	25	Reedsburg	['Q15221373']
Q2843968	8	Come Back, Africa	['Q11424']
Q964604	27	Holland	['Q1093829']
Q8346795	12	Claudia Ramírez	['Q5']
Q12965845	8	8 January 2006	['Q2234', 'Q47150325']
Q983395	17	Marcel Brillouin	['Q5']
Q1300313	30	Munich	['Q1093829']
Q71275	80	Spencer Tracy	['Q5']
Q4677349	5	Sia, le rêve du python	['Q11424']
Q967881	29	Richmond Heights	['Q1093829']
Q1998804	37	Mohall	['Q1093829']
Q1026274	22	Tagoloan	['Q24764']
Q16945785	1	Anous Joel	['Q5']
Q913693	24	Facundo Arana	['Q5']
Q2191469	22	LaGrange, Ohio	['Q751708']
Q49359	21	Benito Soliven	['Q24764']
Q1130538	25	Bendersville	['Q777120']
Q33456	1	exponentiation	['Q1569997']
Q486877	70	South Bend	['Q62049', 'Q1093829', 'Q1549591']
Q79215	32	Tallassee	['Q1093829']
Q81888	97	AFC Ajax	['Q476028']
Q50178	28	Cauayan	['Q106078286']
Q19814	147	Romance	['Q25295']
Q12886513	5	1193	['Q4167410']
Q1089461	25	Bloomsbury	['Q2911266']
Q3599736	10	732	['Q4167410']
Q564993	41	Albondón	['Q2074737']
Q79700	41	Homewood	['Q1093829']
Q35994	22	Bauko	['Q24764']
Q977497	26	Snook	['Q1093829']
Q65723	33	Sylvania	['Q486972']
Q979870	23	Buffalo Gap	['Q486972', 'Q15127012']
Q986528	41	Buckeye	['Q1093829']
Q6851029	5	Mildred Trouillot	['Q5']
Q511893	29	Australopithecine	['Q23038290']
Q20046275	5	1148	['Q4167410']
Q7757328	4	The Place in Between	['Q11424']
Q420055	12	Floris van Schooten	['Q5']
Q23840	129	984	['Q577']
Q374463	11	Mirada de Mujer	['Q5398426']
Q2113914	22	Morrisonville	['Q486972', 'Q751708']
Q741513	18	Ky-Mani Marley	['Q5']
Q969173	20	Mirando City	['Q498162']
Q1640144	29	Villaobispo de Otero	['Q2074737']
Q3025346	6	Loggerheads	['Q11424']
Q1714181	8	Justin Elie	['Q5']
Q610384	9	Odiseo Bichir	['Q5']
Q1184074	22	Marcus Hook	['Q777120']
Q8194292	11	Alejandro de la Madrid	['Q5']
Q1001941	26	San José de las Lajas	['Q515', 'Q558330']
Q942389	26	Sayre	['Q777120']
Q620732	34	Alexander Tarasov	['Q5']
Q79350	34	Allakaket	['Q1093829']
Q12898448	1	Yves Cameau	['Q5']
Q986178	35	New Port Richey	['Q1093829']
Q984145	15	Tupper Lake	['Q106071004']
Q14615502	10	24 July 2006	['Q2721', 'Q47150325']
Q604797	32	Fruitland Park	['Q1093829']
Q1903308	36	Warren	['Q62049', 'Q1093829']
Q20046625	5	1269	['Q4167410']
Q12886456	6	1109	['Q4167410']
Q193695	61	The Wizard of Oz	['Q11424', 'Q24869']
Q2990328	11	neutral particle	['Q22675015']
Q65979275	3	An Irrepressible Woman	['Q11424']
Q833901	57	Muriel de la Fuente	['Q2074737']
Q3599389	7	570	['Q4167410']
Q1384343	18	Serge Bourguignon	['Q5']
Q2086888	26	Wessington	['Q1093829']
Q68541	10	Bernd Fischer	['Q5']
Q2373188	23	Round Lake Heights	['Q751708']
Q956260	15	Pierre Vernier	['Q5']
Q20559875	1	Moise Bellande	['Q5']
Q953598	36	Ione	['Q1093829']
Q2567168	9	Squiddly Diddly	['Q5398426']
Q1931279	35	Colby	['Q62049', 'Q1093829']
Q2160493	24	West Union	['Q15127012']
Q1046930	62	Rello	['Q2074737']
Q422438	50	chloroquine	['Q11173', 'Q12140', 'Q35456', 'Q17310777', 'Q113681859']
Q7110600	6	Our Daughter	['Q11424']
Q3710633	18	Otto	['Q15127012', 'Q106071004']
Q6299589	5	Juan David Agudelo	['Q5']
