Text,Wiki_ID,Wikidata_ID,Source
Kimberly Sellers,None,Q12892349,OpenTapioca
Biostatistics,None,Q4915301,OpenTapioca
University of Pennsylvania,None,Q49117,OpenTapioca
International Journal of Pure and Applied Mathematics,None,Q15750727,OpenTapioca
International Statistical Review,None,Q15758564,OpenTapioca
MR,None,Q1025,OpenTapioca
RS,None,Q403,OpenTapioca
MP,None,Q16644,OpenTapioca
Innate Immunity,None,Q6035271,OpenTapioca
Endocrinology and Metabolism,None,Q26841897,OpenTapioca
Journal of Clinical Oncology,None,Q400292,OpenTapioca
Contemporary Mathematics,None,Q96702976,OpenTapioca
Mathematical Sciences,None,Q50432013,OpenTapioca
Morgan State University,None,Q1054905,OpenTapioca
"Baltimore, Maryland",None,Q5092,OpenTapioca
A.,None,Q48,OpenTapioca
American Mathematical Society,None,Q465654,OpenTapioca
"Providence, RI",None,Q18383,OpenTapioca
MMR,None,Q836,OpenTapioca
Second International,None,Q188592,OpenTapioca
Bordeaux,None,Q1479,OpenTapioca
ASA,None,Q16641,OpenTapioca
SIAM,None,Q782100,OpenTapioca
"Philadelphia, PA",None,Q1345,OpenTapioca
Pittsburgh,None,Q1342,OpenTapioca
LA,None,Q65,OpenTapioca
Los Alamos National Laboratory,None,Q379848,OpenTapioca
NM,None,Q1522,OpenTapioca
Denver,None,Q16554,OpenTapioca
CO,None,Q1261,OpenTapioca
LA,None,Q819,OpenTapioca
"Los Alamos, NM",None,Q318637,OpenTapioca
Mass,None,Q771,OpenTapioca
Hawaii,None,Q782,OpenTapioca
Honolulu,None,Q18094,OpenTapioca
"Seattle, WA",None,Q5083,OpenTapioca
D,None,Q2013,OpenTapioca
"S, Borchers",None,Q89055741,OpenTapioca
"Washington, DC",None,Q61,OpenTapioca
Santa Fe,None,Q38555,OpenTapioca
American College of Cardiology,None,Q4743449,OpenTapioca
"Atlanta, GA",None,Q23556,OpenTapioca
"Dallas, TX",None,Q16557,OpenTapioca
American Heart Association,None,Q464880,OpenTapioca
"Austin, TX",None,Q16559,OpenTapioca
TX,None,Q1439,OpenTapioca
American Federation for Medical Research,None,Q30261230,OpenTapioca
Arteriosclerosis Thrombosis and Vascular Biology,None,Q4797542,OpenTapioca
Washington DC,None,Q61,OpenTapioca
International Biometric Society,None,Q59366,OpenTapioca
PA,None,Q1400,OpenTapioca
Puerto Rico,None,Q1183,OpenTapioca
"San Diego, CA",None,Q16552,OpenTapioca
Bill Clinton,65888,Q1124,Wikipedia
9 janvye,3501,Q2238,Wikipedia
Sada Sory Thiam,None,Q12896492,OpenTapioca
lycee,None,Q22919029,OpenTapioca
Bamako,None,Q3703,OpenTapioca
oriente,None,Q205653,OpenTapioca
Louis Pasteur,None,Q529,OpenTapioca
Strasbourg,None,Q6602,OpenTapioca
Mali,None,Q912,OpenTapioca
Grenoble,None,Q1289,OpenTapioca
FAC,None,Q713750,OpenTapioca
Cheikh Anta Diop,None,Q521729,OpenTapioca
Jezwit,12063,Q36380,Wikipedia
13 septanm,3378,Q2848,Wikipedia
Bèlen,3112,Q64,Wikipedia
grèk,14304,Q12891192,Wikipedia
9 desanm,3476,Q2304,Wikipedia
20 desanm,3487,Q2455,Wikipedia
16 avril,3175,Q2519,Wikipedia
11 oktòb,3402,Q2927,Wikipedia
26 desanm,3493,Q2761,Wikipedia
5 me,3257,Q2550,Wikipedia
Polòy,1101,Q36,Wikipedia
Ernst Kummer,19535,Q57245,Wikipedia
Karl Weierstrass,19669,Q57103,Wikipedia
Henri Poincaré,21840,Q81082,Wikipedia
20 novanm,3440,Q3024,Wikipedia
27 avril,3185,Q2533,Wikipedia
21 desanm,3488,Q2603,Wikipedia
6 fevriye,3530,Q2320,Wikipedia
Ernst Jacobsthal,None,Q77918,OpenTapioca
David Coste,None,Q18810554,OpenTapioca
19 oktòb,3408,Q2961,Wikipedia
26 out,3360,Q2820,Wikipedia
11 janvye,3503,Q2247,Wikipedia
echèk,14156,Q15472840,Wikipedia
Bernhard Riemann,19612,Q42299,Wikipedia
28 oktòb,3417,Q2952,Wikipedia
24 jen,3296,Q2665,Wikipedia
19 me,3270,Q2578,Wikipedia
3 avril,3163,Q2509,Wikipedia
4 desanm,3472,Q2310,Wikipedia
Oregon,4042,Q824,Wikipedia
analiz,11778,Q217602,Wikipedia
9 oktòb,3400,Q2923,Wikipedia
19 janvye,3511,Q2266,Wikipedia
22 novanm,3442,Q3025,Wikipedia
21 out,3356,Q2823,Wikipedia
8 novanm,3429,Q2990,Wikipedia
Dubner,None,Q454515,OpenTapioca
nonm premye jimo,62102,Q12894832,Wikipedia
Vasovi,3608,Q270,Wikipedia
8 fevriye,3532,Q2323,Wikipedia
fizisyen,14215,Q12890655,Wikipedia
Paul Ehrenfest,21581,Q84227,Wikipedia
Arnold Sommerfeld,21926,Q77078,Wikipedia
12 jen,3282,Q2619,Wikipedia
"Brooklyn, New York",None,Q18419,OpenTapioca
Columbia College of Columbia University,None,Q4569677,OpenTapioca
M.S.,None,Q30,OpenTapioca
Columbia,None,Q739,OpenTapioca
erè,None,Q16911049,OpenTapioca
kategori,None,Q31769851,OpenTapioca
21 oktòb,3410,Q2960,Wikipedia
otrich,1099,Q40,Wikipedia
doktè,14070,Q25579266,Wikipedia
Auburn (Alabama),23203,Q79728,Wikipedia
11 desanm,3478,Q2363,Wikipedia
31 jiyè,3336,Q2715,Wikipedia
Ilinwa,4017,Q1204,Wikipedia
30 oktòb,3419,Q2950,Wikipedia
7 jiyè,3453,Q2694,Wikipedia
Moskou,None,Q649,OpenTapioca
Izrayèl,None,Q801,OpenTapioca
Université hébraïque de Jérusalem,None,Q174158,OpenTapioca
30 avril,3188,Q2536,Wikipedia
Michigàn,4029,Q1166,Wikipedia
Masachosèt,4027,Q771,Wikipedia
enjenyè,14134,Q25579339,Wikipedia
12 mas,3143,Q2402,Wikipedia
Arizona,4009,Q816,Wikipedia
24 janvye,3516,Q2278,Wikipedia
kanadyen,58612,Q25581125,Wikipedia
25 avril,3183,Q2531,Wikipedia
28 desanm,3495,Q2832,Wikipedia
29 jen,3300,Q2659,Wikipedia
topoloji,79720,Q42989,Wikipedia
Levanjil,2460,Q34274,Wikipedia
Jezi,2476,Q302,Wikipedia
apòt,2457,Q43412,Wikipedia
Sikoloji,20371,Q12897322,Wikipedia
4 out,3341,Q2784,Wikipedia
Awayi,4011,Q782,Wikipedia
13 oktòb,3403,Q2925,Wikipedia
6 jen,3276,Q2620,Wikipedia
Lionel Penrose,20710,Q339375,Wikipedia
Roger Penrose,20507,Q193803,Wikipedia
23 novanm,3443,Q3021,Wikipedia
Cambridge,None,Q350,OpenTapioca
30 desanm,2804,Q2901,Wikipedia
6 out,3343,Q2787,Wikipedia
teyorèm,12706,Q25578526,Wikipedia
Nonm premye,11982,Q49008,Wikipedia
Teyorèm Wilson,62286,Q276082,Wikipedia
Edward Waring,20534,Q323028,Wikipedia
End,986,Q668,Wikipedia
George Boole,70461,Q134661,Wikipedia
William Frend De Morgan,70463,Q3568633,Wikipedia
enjenyeri,2452,Q11023,Wikipedia
inivèsite,58974,Q3918,Wikipedia
Premyè Gè mondyal,70586,Q361,Wikipedia
Niels Bohr,21506,Q7085,Wikipedia
1e novanm,3421,Q2997,Wikipedia
13 avril,3172,Q2498,Wikipedia
Douglas Hartree,None,Q451770,OpenTapioca
Manchester,None,Q18125,OpenTapioca
rada,None,Q34442,OpenTapioca
John Crank,None,Q1699680,OpenTapioca
Metòd,None,Q239925,OpenTapioca
"Girton College, Cambridge",None,Q797846,OpenTapioca
Leeds,None,Q39121,OpenTapioca
Sheffield,None,Q42448,OpenTapioca
4 novanm,3425,Q2994,Wikipedia
7 out,3366,Q2781,Wikipedia
2 desanm,3470,Q2296,Wikipedia
Stephen Hawking,21663,Q17714,Wikipedia
22 desanm,3489,Q2636,Wikipedia
Peter Borwein,21243,Q711263,Wikipedia
Ramanujan,None,Q83163,OpenTapioca
Pè,14857,Q48688622,Wikipedia
Bourbaki,None,Q190529,OpenTapioca
Limonad,14637,Q12893512,Wikipedia
25 novanm,3445,Q3020,Wikipedia
Voltaire,69904,Q9068,Wikipedia
17 janvye,3509,Q2264,Wikipedia
Saint-Raphaël,None,Q234281,OpenTapioca
28 fevriye,3552,Q2362,Wikipedia
Albert Camus,None,Q34670,OpenTapioca
Aljeri,None,Q262,OpenTapioca
Lyon,None,Q456,OpenTapioca
Jean Camus,None,Q47519771,OpenTapioca
Masèy,62531,Q23482,Wikipedia
5 janvye,2793,Q2202,Wikipedia
27 janvye,3519,Q2284,Wikipedia
Imaj,None,Q19613719,OpenTapioca
La Condamine,None,Q26681,OpenTapioca
15 septanm,3380,Q2846,Wikipedia
18 septanm,3383,Q2893,Wikipedia
4 mas,3135,Q2396,Wikipedia
14 oktòb,3404,Q2922,Wikipedia
17 jiyè,3322,Q2729,Wikipedia
27 jiyè,3332,Q2719,Wikipedia
pè,14857,Q48688622,Wikipedia
jeneral,59520,Q12891959,Wikipedia
Abraham de Moivre,None,Q200397,OpenTapioca
Shanghai,32052,Q8686,Wikipedia
Saint-Paul,None,Q9200,OpenTapioca
Camille de Neufville de Villeroy,None,Q2935107,OpenTapioca
26 septanm,3389,Q2885,Wikipedia
7 fevriye,3531,Q2322,Wikipedia
10 mas,3141,Q2397,Wikipedia
Nicolas Bourbaki,20885,Q190529,Wikipedia
matematik,3748,Q395,Wikipedia
24 mas,3155,Q2453,Wikipedia
akoustik,59697,Q82811,Wikipedia
24 oktòb,3413,Q2955,Wikipedia
29 jiyè,3334,Q2717,Wikipedia
syantifik,15264,Q25580311,Wikipedia
Simone Weil,70468,Q157309,Wikipedia
12 jiyè,3317,Q2688,Wikipedia
Milan,64135,Q490,Wikipedia
Pisa,None,Q13375,OpenTapioca
Giulio Ascoli,None,Q1456853,OpenTapioca
École polytechnique,None,Q273626,OpenTapioca
Milan,None,Q490,OpenTapioca
jezwit,12063,Q36380,Wikipedia
Niccolo Cabeo,None,Q2880132,OpenTapioca
8 janvye,3500,Q2234,Wikipedia
teleskòp,76960,Q4213,Wikipedia
astwonomi,1034,Q333,Wikipedia
Aristòt,21476,Q868,Wikipedia
Bib,2502,Q1845,Wikipedia
Galileo,None,Q307,OpenTapioca
tan an,None,Q15940954,OpenTapioca
2 oktòb,3396,Q2932,Wikipedia
6 septanm,2798,Q2858,Wikipedia
12 janvye,3504,Q2248,Wikipedia
Lugo,61675,Q11125,Wikipedia
Ulisse Dini,21166,Q707148,Wikipedia
Tullio Levi-Civita,21194,Q353438,Wikipedia
10 me,3262,Q2557,Wikipedia
13 desanm,3480,Q2379,Wikipedia
3 me,3253,Q2547,Wikipedia
Ikrèn,1086,Q212,Wikipedia
Kalsyòm,3783,Q706,Wikipedia
New York,63661,Q22654,Wikipedia
Lityani,1092,Q37,Wikipedia
5 avril,3165,Q2507,Wikipedia
8 oktòb,2800,Q2924,Wikipedia
Tchaplyguine,None,Q197691,OpenTapioca
Ewo,None,Q2362433,OpenTapioca
5 desanm,3117,Q2300,Wikipedia
7 novanm,3428,Q2989,Wikipedia
10 fevriye,3534,Q2325,Wikipedia
Stokolm,3622,Q1754,Wikipedia
Syèd,1107,Q34,Wikipedia
7 mas,3138,Q2394,Wikipedia
Saint-Pétersbourg,61933,Q656,Wikipedia
24 avril,3182,Q2529,Wikipedia
The Institute for Information Transmission Problems of Russian Academy of Sciences,None,Q16655725,OpenTapioca
Andreï Kolmogorov,None,Q153224,OpenTapioca
Institute for Information Transmission Problems,None,Q16655725,OpenTapioca
IITP,None,Q16655725,OpenTapioca
Académie des sciences de Russie,None,Q83172,OpenTapioca
IEEE,None,Q131566,OpenTapioca
Claude-Shannon,None,Q92760,OpenTapioca
Richard-Hamming,None,Q92619,OpenTapioca
Mark Semenovich Pinsker,21403,Q3294206,Wikipedia
18 avril,3176,Q2521,Wikipedia
8 me,3260,Q2555,Wikipedia
Sergei V. Kerov,None,Q102204625,OpenTapioca
Izrael,29265,Q6102127,Wikipedia
Saint Petersburg,None,Q656,OpenTapioca
Leningrad,None,Q656,OpenTapioca
Zalgaller,None,Q1384951,OpenTapioca
D. Alexandrov,None,Q57912207,OpenTapioca
Leonid Kantorovich,None,Q107441,OpenTapioca
12 out,3348,Q2777,Wikipedia
4 janvye,2790,Q2168,Wikipedia
Albert Einstein,11786,Q937,Wikipedia
21 jen,3291,Q2671,Wikipedia
Anders Jonas Ångström,None,Q187258,OpenTapioca
Upsala,None,Q25286,OpenTapioca
Stockholm,None,Q1754,OpenTapioca
Upsala,None,Q104926,OpenTapioca
Akademi,None,Q71535944,OpenTapioca
Syèd,None,Q34,OpenTapioca
danwa,59329,Q25581295,Wikipedia
3 septanm,3370,Q2860,Wikipedia
Edinbo,13159,Q23436,Wikipedia
Ekòs,1661,Q22,Wikipedia
Platon,62978,Q859,Wikipedia
23 oktòb,3412,Q2958,Wikipedia
Ongri,1098,Q28,Wikipedia
15 desanm,3482,Q2383,Wikipedia
Alexandre Edmond Becquerel,None,Q315048,OpenTapioca
Antoine Becquerel,None,Q41269,OpenTapioca
Lycée Louis-le-Grand,None,Q1059546,OpenTapioca
Ecole Polytechnique,None,Q273626,OpenTapioca
Ponts et Chaussées,None,Q273523,OpenTapioca
Jules Jamin,None,Q654482,OpenTapioca
Louise Lorieux,None,Q80241467,OpenTapioca
Edmond Lorieux,None,Q80240468,OpenTapioca
École Polytechnique,None,Q273626,OpenTapioca
Alfred Potier,None,Q2401014,OpenTapioca
Lonn,3669,Q84,Wikipedia
Marie Curie,None,Q7186,OpenTapioca
li. Li,None,Q57955744,OpenTapioca
Curie,None,Q37463,OpenTapioca
Pierre Curie,None,Q37463,OpenTapioca
Becquerel,None,Q41269,OpenTapioca
Nobel,None,Q23810,OpenTapioca
Le Croisic,None,Q840597,OpenTapioca
Jiyè,1935,Q121,Wikipedia
11 mas,3142,Q2398,Wikipedia
Kopènag,3653,Q1748,Wikipedia
Walther Bothe,21513,Q76474,Wikipedia
20 avril,3178,Q2524,Wikipedia
15 out,3350,Q2774,Wikipedia
19 mas,3150,Q2424,Wikipedia
Soviet Union,None,Q15180,OpenTapioca
2 janvye,2788,Q2151,Wikipedia
24 out,3358,Q2825,Wikipedia
Peyiba,1100,Q55,Wikipedia
Ernest Walton,21976,Q183631,Wikipedia
nwayo atomik,60245,Q37147,Wikipedia
26 mas,3157,Q2456,Wikipedia
19 desanm,3486,Q2451,Wikipedia
Carl Wieman,21993,Q206379,Wikipedia
Wolfgang Ketterle,21712,Q76462,Wikipedia
4 jiyè,3310,Q2698,Wikipedia
polonyòm,3802,Q979,Wikipedia
radyòm,3842,Q1128,Wikipedia
Pierre Curie,21557,Q37463,Wikipedia
15 me,3267,Q2562,Wikipedia
19 avril,3177,Q2523,Wikipedia
Marie Curie,21556,Q7186,Wikipedia
9 mas,3140,Q2401,Wikipedia
9 fevriye,3533,Q2324,Wikipedia
Kirk Douglas,73764,Q104027,Wikipedia
teyat,15298,Q11635,Wikipedia
Peter Douglas,73765,Q3376546,Wikipedia
Eric Douglas,69791,Q1294039,Wikipedia
Konèktikòt,4025,Q779,Wikipedia
8 avril,3167,Q2503,Wikipedia
József Eötvös,None,Q469996,OpenTapioca
24 me,3460,Q2584,Wikipedia
Layè,3666,Q36600,Wikipedia
Pennsylvani,None,Q1400,OpenTapioca
Anglete,None,Q21,OpenTapioca
Yo,None,Q2972561,OpenTapioca
Boston,None,Q100,OpenTapioca
Silence Dogood,None,Q34969,OpenTapioca
Benjamin Franklin,None,Q34969,OpenTapioca
Franklin,None,Q34969,OpenTapioca
Riccardo Giacconi,None,Q186481,OpenTapioca
Fizik,None,Q5456434,OpenTapioca
Masatoshi Koshiba,None,Q155773,OpenTapioca
Raymond Davis Jr,None,Q175519,OpenTapioca
Giacconi,None,Q186481,OpenTapioca
11 jiyè,3316,Q2701,Wikipedia
Nevada,4035,Q1227,Wikipedia
Frankfurt,12654,Q1794,Wikipedia
28 jiyè,3333,Q2718,Wikipedia
fisyon nikleyè,60239,Q65323867,Wikipedia
14 mas,3145,Q2404,Wikipedia
Heike Kamerlingh Onnes,21702,Q62891,Wikipedia
Elyòm,3769,Q560,Wikipedia
pakistanè,57790,Q25581056,Wikipedia
19 septanm,3384,Q2896,Wikipedia
japonè,58697,Q25581131,Wikipedia
24 novanm,3444,Q3022,Wikipedia
Simon Lewin,None,Q65663421,OpenTapioca
avoka,13789,Q12887672,Wikipedia
Pieter Zeeman,22014,Q79000,Wikipedia
Soviet,None,Q15180,OpenTapioca
31 janvye,3523,Q2289,Wikipedia
Henry Gwyn Jeffreys Moseley,None,Q310759,OpenTapioca
Henry Moseley,None,Q310759,OpenTapioca
10 out,3346,Q2779,Wikipedia
29 avril,3187,Q2535,Wikipedia
2 out,3339,Q2785,Wikipedia
Boudapès,3572,Q1781,Wikipedia
Zirik,63055,Q72,Wikipedia
Lille,None,Q648,OpenTapioca
États-Unis,None,Q30,OpenTapioca
Isidor Isaac Rabi,None,Q165969,OpenTapioca
18 jen,3288,Q2670,Wikipedia
Nouvèl Zelann,1650,Q664,Wikipedia
21 me,3457,Q2580,Wikipedia
Janvye,1929,Q108,Wikipedia
16 jiyè,3321,Q2731,Wikipedia
Richard Feynman,21598,Q39246,Wikipedia
20 jiyè,3325,Q2728,Wikipedia
Ludolph van Ceulen,19422,Q310771,Wikipedia
lot,None,Q220998,OpenTapioca
30 me,3466,Q2590,Wikipedia
Enèji nikleyè,60238,Q12739,Wikipedia
Dezyèm Gè mondyal,62019,Q362,Wikipedia
Gerard 't Hooft,None,Q184592,OpenTapioca
Peyiba,None,Q55,OpenTapioca
23 jiyè,3328,Q2722,Wikipedia
Teksas,4046,Q1439,Wikipedia
16 fevriye,3540,Q2342,Wikipedia
19 jiyè,3324,Q2726,Wikipedia
1e oktòb,3394,Q2913,Wikipedia
Tsung-Dao Lee,21747,Q183679,Wikipedia
Ilann,1087,Q27,Wikipedia
konjige goumen,22026,Q12892415,Wikipedia
goumen,22024,Q650711,Wikipedia
kominote otonòm,57849,Q12892398,Wikipedia
Teide,61960,Q38954,Wikipedia
Tenerife,64664,Q40846,Wikipedia
Almería,64525,Q81802,Wikipedia
Andalouzi,22029,Q5783,Wikipedia
Cadix,64530,Q81978,Wikipedia
Cordoue,64528,Q81972,Wikipedia
Grenad,None,Q769,OpenTapioca
Genil,None,Q17760,OpenTapioca
Guadalquivir,None,Q14309,OpenTapioca
Darro,None,Q1166701,OpenTapioca
Grenada,None,Q769,OpenTapioca
Sierra Nevada,None,Q26955,OpenTapioca
Espay,None,Q29,OpenTapioca
pli,14918,Q65324996,Wikipedia
Plèn,None,Q497060,OpenTapioca
Mediterane,None,Q4918,OpenTapioca
Sierra Nevada,None,Q26777,OpenTapioca
Andalucía,None,Q5783,OpenTapioca
Ferdinand V,None,Q12860,OpenTapioca
Isabel I,None,Q45859,OpenTapioca
Torre de la Vela,None,Q98057749,OpenTapioca
Granada,None,Q769,OpenTapioca
Grenad,None,Q8810,OpenTapioca
Charles V,None,Q32500,OpenTapioca
Saint-Jérôme,None,Q44248,OpenTapioca
J.K.,None,Q34660,OpenTapioca
J.-K.,None,Q34660,OpenTapioca
Florentia,None,Q2044,OpenTapioca
Visigoth,None,Q23693,OpenTapioca
Granata,None,Q769,OpenTapioca
Ferdinand II,None,Q12860,OpenTapioca
Aragon,None,Q4040,OpenTapioca
Isabella,None,Q45859,OpenTapioca
Federico García Lorca,None,Q41408,OpenTapioca
Granada,None,Q8810,OpenTapioca
al-Andalûs,None,Q123559,OpenTapioca
Garnata,None,Q5115696,OpenTapioca
Torres Bermejas,None,Q98501260,OpenTapioca
Belén,None,Q64,OpenTapioca
"Santiago, Calle",None,Q2840216,OpenTapioca
San Matías,None,Q44020,OpenTapioca
Palè,None,Q90,OpenTapioca
La Cartuja,None,Q1366393,OpenTapioca
University of Granada,None,Q1232180,OpenTapioca
Maghreb,None,Q1028,OpenTapioca
Valparaiso,None,Q33986,OpenTapioca
Mawòk,None,Q1028,OpenTapioca
Andalouzi,None,Q5783,OpenTapioca
Mwayen Oryan,None,Q7204,OpenTapioca
Lejip,None,Q79,OpenTapioca
centro de interpretación,None,Q29948088,OpenTapioca
Complejo Hospitalario Universitario de Granada,None,Q5902982,OpenTapioca
Ceuta,22045,Q5823,Wikipedia
Melilla,22046,Q5831,Wikipedia
Corpus Christi,None,Q49242,OpenTapioca
Albaicín,None,Q16010215,OpenTapioca
Servicio Andaluz de Salud,None,Q4753529,OpenTapioca
San Rafael,None,Q631915,OpenTapioca
Saint John of God,None,Q320171,OpenTapioca
Consejería de Salud,None,Q33121853,OpenTapioca
Junta de Andalucía,None,Q2743342,OpenTapioca
Nuestra Señora,None,Q345,OpenTapioca
Barcelona,None,Q1492,OpenTapioca
Centro,None,Q13947,OpenTapioca
CS,None,Q33946,OpenTapioca
Laprès,None,Q1193236,OpenTapioca
Granada Hoy,None,Q5797249,OpenTapioca
Cadena SER,None,Q1025113,OpenTapioca
Canal Sur Radio,None,Q600193,OpenTapioca
Cadena COPE,None,Q2748488,OpenTapioca
Onda Cero,None,Q2748448,OpenTapioca
Radio Nacional de España,None,Q2302267,OpenTapioca
chanèl,None,Q218115,OpenTapioca
Granada Televisión,None,Q220072,OpenTapioca
Museo Arqueológico y Etnológico de Granada,None,Q4785407,OpenTapioca
Museo de Bellas Artes de Granada,None,Q97605864,OpenTapioca
Santa Cruz,None,Q14328,OpenTapioca
Real,None,Q8682,OpenTapioca
Alhambra,None,Q47476,OpenTapioca
Charles V,None,Q167782,OpenTapioca
Manuel de Falla,None,Q193283,OpenTapioca
Alta,None,Q1951,OpenTapioca
Museo-cuevas del Sacromonte,None,Q47517357,OpenTapioca
Sacromonte,None,Q2842387,OpenTapioca
Museo de la Memoria,None,Q16609962,OpenTapioca
Caja Granada,None,Q8254951,OpenTapioca
Andalusia,None,Q5783,OpenTapioca
Granada,None,Q82142,OpenTapioca
Andaluz,None,Q123559,OpenTapioca
Centro de Documentación Musical de Andalucía,None,Q5062901,OpenTapioca
Albaicín,None,Q576339,OpenTapioca
San Nicolas,None,Q44269,OpenTapioca
Plaza Nueva,None,Q7203631,OpenTapioca
Realejo,None,Q10357836,OpenTapioca
Indie,None,Q668,OpenTapioca
LN,None,Q38130,OpenTapioca
Huelva,64527,Q95015,Wikipedia
Jaén,64526,Q95025,Wikipedia
Málaga,64523,Q95028,Wikipedia
Seville,64524,Q95088,Wikipedia
11 septanm,3376,Q2851,Wikipedia
entènasyonal,59524,Q12890418,Wikipedia
14 out,3118,Q2775,Wikipedia
Violette AC,None,Q2301350,OpenTapioca
ekip foutbòl Ayiti,67219,Q236006,Wikipedia
10 jiyè,3315,Q2689,Wikipedia
Petionville,None,Q1001440,OpenTapioca
23 janvye,3515,Q2276,Wikipedia
6 avril,3166,Q2506,Wikipedia
Alexandre Bourcicaut,None,Q12887211,OpenTapioca
almanak jilyen,9693,Q11184,Wikipedia
pon,59051,Q12280,Wikipedia
Tayilann,2181,Q869,Wikipedia
Vyantyàn,3607,Q9326,Wikipedia
mèt,14752,Q2900891,Wikipedia
Tayilann,None,Q869,OpenTapioca
Laos,None,Q819,OpenTapioca
Lao,None,Q819,OpenTapioca
Vyantyàn,None,Q9326,OpenTapioca
Gautama Buddha,76975,Q9441,Wikipedia
gan,59302,Q169031,Wikipedia
gòf,67560,Q65323321,Wikipedia
Gòf,None,Q24029517,OpenTapioca
moun,11844,Q5,Wikipedia
antwopoloji,9579,Q23404,Wikipedia
alkòl,59704,Q156,Wikipedia
maladi,14680,Q12136,Wikipedia
lafyèv,14563,Q38933,Wikipedia
jòn,9591,Q943,Wikipedia
koulè,11850,Q1075,Wikipedia
Ble (koulè),9595,Q1088,Wikipedia
Ble (sereyal),2532,Q15645384,Wikipedia
flè,14218,Q506,Wikipedia
wonm,9585,Q83376,Wikipedia
tre,None,Q10884,OpenTapioca
almanak,13659,Q12132,Wikipedia
lane,1979,Q577,Wikipedia
sosyete,11699,Q8425,Wikipedia
pèp,14875,Q12895872,Wikipedia
nasyon,58940,Q6266,Wikipedia
jewografi,4079,Q1071,Wikipedia
teknoloji,4089,Q11016,Wikipedia
sikoloji,20371,Q12897322,Wikipedia
kòd nwa,67107,Q222969,Wikipedia
kako,14326,Q43666391,Wikipedia
istwa,11685,Q309,Wikipedia
syans natirèl,12625,Q7991,Wikipedia
biyoloji,1019,Q420,Wikipedia
ekonomi,11779,Q159810,Wikipedia
etnoloji,9580,Q43455,Wikipedia
manje,14696,Q65324780,Wikipedia
konsomasyon,63099,Q192270,Wikipedia
Sen Domeng,None,Q34820,OpenTapioca
Lwa,12914,Q1878463,Wikipedia
Rara,15036,Q3419744,Wikipedia
kanaval,13166,Q25578560,Wikipedia
Gede,70413,Q1521511,Wikipedia
petwo,70305,Q7179433,Wikipedia
Kwowasi,1090,Q224,Wikipedia
Otawa,3702,Q1930,Wikipedia
Otawa,None,Q1930,OpenTapioca
Télesphore Fournier,None,Q3546493,OpenTapioca
Frederick Toller,None,Q99642732,OpenTapioca
Louis-Philippe Brodeur,None,Q1871439,OpenTapioca
Afganistan,1022,Q889,Wikipedia
Kaboul,3639,Q5838,Wikipedia
sou,15242,Q12897424,Wikipedia
fouye,59238,Q12890729,Wikipedia
blese,13870,Q25579071,Wikipedia
batay,13816,Q65324322,Wikipedia
akeyoloji,11776,Q23498,Wikipedia
Platon,None,Q859,OpenTapioca
Aristote,None,Q868,OpenTapioca
fom,None,Q18640,OpenTapioca
vale,None,Q28599456,OpenTapioca
Y,None,Q38,OpenTapioca
tet,None,Q404542,OpenTapioca
Aristot,None,Q868,OpenTapioca
Metod,None,Q239925,OpenTapioca
Pyè,None,Q33923,OpenTapioca
Jan,None,Q40662,OpenTapioca
Filozòf,None,Q351026,OpenTapioca
Descartes,None,Q9191,OpenTapioca
kan,None,Q15720184,OpenTapioca
baze,None,Q95400704,OpenTapioca
John Stuart Mill,None,Q50020,OpenTapioca
René Descartes,20927,Q9191,Wikipedia
La.,None,Q1588,OpenTapioca
Kap Ayisyen,None,Q216835,OpenTapioca
pwodiksyon,14995,Q65325033,Wikipedia
ann,None,Q7824,OpenTapioca
Marc Louis Bazin,None,Q726744,OpenTapioca
Pifò,None,Q13190305,OpenTapioca
palmantè yo ki pa gen konpetans,63273,Q25581800,Wikipedia
defi a pou Ayiti,63272,Q20587540,Wikipedia
pwoteje moun yo ap pèmèt yo pa fè tikras,63268,Q25581797,Wikipedia
envestisman yo ki pou kalite,63269,Q25581801,Wikipedia
lan sou,None,Q11114478,OpenTapioca
lavichè,76060,Q35865,Wikipedia
Joseph Harold,None,Q16946698,OpenTapioca
òganis,60260,Q7239,Wikipedia
jèn,58662,Q7187,Wikipedia
meyoz,60990,Q16424695,Wikipedia
fekondasyon,59985,Q14890574,Wikipedia
adaptasyon,13615,Q483921,Wikipedia
konpòtman,59761,Q9332,Wikipedia
sèvo,59090,Q1073,Wikipedia
chenpanze,69323,Q65322841,Wikipedia
dofen,2615,Q7369,Wikipedia
òmòn,60070,Q11364,Wikipedia
fewomòn,60294,Q167377,Wikipedia
reseptè,61080,Q208467,Wikipedia
valè,58952,Q868257,Wikipedia
devlopman,14015,Q12889551,Wikipedia
lanmou,14590,Q316,Wikipedia
repwodiksyon,61095,Q11990,Wikipedia
bonè,59208,Q12888111,Wikipedia
aployid,60928,Q515386,Wikipedia
diployid,59672,Q504520,Wikipedia
espès,60441,Q7432,Wikipedia
kabòn,3780,Q623,Wikipedia
elektwon,59935,Q2225,Wikipedia
pwoteyin,58818,Q8054,Wikipedia
Bertrand Russell,None,Q33760,OpenTapioca
Albert Einstein,None,Q937,OpenTapioca
Newton,None,Q935,OpenTapioca
Einstein,None,Q937,OpenTapioca
Maxwell,None,Q9095,OpenTapioca
Michelson,None,Q127234,OpenTapioca
