text,text_preprocessed,k10_label
"Kwiin Elisabeth II ([[Ieprel]] 21, 1926, [[London]]; fuul naem esa Elisabeth Aleksaendra Marii) esa Kwiin o' t' United Kingdom, [[Kaneda]], [[Ostrielya]], [[Nyuu Ziilan]], [[Sowth Afreka]], [[Bahaamas]], [[Papua Nyuu Gini]], [[Solamon Ailen]], [[Tuwaluu]], [[Jamaeka]], [[Barbados]] andem.",Kwiin Elisabeth II esa Kwiin o t United Kingdom Kaneda Ostrielya Nyuu Ziilan Sowth Afreka Bahaamas Papua Nyuu Gini Solamon Ailen Tuwaluu Jamaeka Barbados andem,8_23
"Jiolojii es t' [[saiens]] comprising t' studeh a' solid [[Erth]], t' rocks a' which it es composed, an t' processes b' which dem chayng.",Jiolojii es t saiens comprising t studeh a solid Erth t rocks a which it es composed an t processes b which dem chayng,8_24
Myuusikolojii esa [[saiens]] a' t' studehs a' [[myuusik]].,Myuusikolojii esa saiens a t studehs a myuusik,8_20
"Alexander Tarasov ([[Rushan]]: ""Александр Николаевич Тарасов""; [[Maach]] 8, 1958, [[Moskou]], [[YoSSR]]) esa [[Rushan]] politishun an teorist.",Alexander Tarasov esa Rushan politishun an teorist,8_20
" es d' therd manth a' d' iya, d' fas manth a' [[spring]] en d' fas manth a' [[ortam]].",es d therd manth a d iya d fas manth a spring en d fas manth a ortam,8_15
Soo'ologii es t' [[saiens]] a' wataweih em anamal werk.,Sooologii es t saiens a wataweih em anamal werk,8_26
"Dmitriy Anatolievich Medvedev ([[Rushan]]: ""Дмитрий Анатольевич Медведев""; [[Septemba]] 14, 1965) es [[Rushan]] politik huu es serven as t' Depyuutii Chairman o' t' Sekyuuritii Kounsil o' Rusha.",Dmitriy Anatolievich Medvedev es Rushan politik huu es serven as t Depyuutii Chairman o t Sekyuuritii Kounsil o Rusha,8_25
"Andrew Garfield ([[Orgas]] 20, 1983) es wun Merikan akter.",Andrew Garfield es wun Merikan akter,8_66
" es d' fas manth a' d' iya, en d' sekan manth a' [[winta]].",es d fas manth a d iya en d sekan manth a winta,8_15
" es d' laas manth a' d' iya, en d' fas manth a' [[winta]].",es d laas manth a d iya en d fas manth a winta,8_15
" es d' semnth manth a' d' iya, en d' sekan manth a' [[sama]].",es d semnth manth a d iya en d sekan manth a sama,8_15
"Abel Askoena ([[Ieprel]] 1, 1988, [[Madrid]]; fuul naem esa Abel Askoena Markuus) esa wun [[Spanish]] akter.",Abel Askoena esa wun Spanish akter,8_20
"Sung Jae-gi (Koriyan: 성재기 成在基, 11 Septemba 1967 – 26 Juulai 2013) wos t' Human right activists, Civil activists, liberalism philosopher i' [[Sowth Koriya]].",Sung Jaegi wos t Human right activists Civil activists liberalism philosopher i Sowth_Koriya,8_59
T' tarpan es a [[hoss]] breed.,T tarpan es a hoss breed,8_26
"Otha species o' ""Capparis"" es elsa pik'd alon [[wit]]' ""C. spinosa"" f' deir buds o' fruuets.",Otha species o Capparis es elsa pikd alon wit C spinosa f deir buds o fruuets,8_26
"Paltoga esa willaj i' [[Rusha]], a' es 4 km2 airea.",Paltoga esa willaj i Rusha a es km airea,8_20
T' Tal' o' t' Pitkern Ailen esa simbol o' t' [[ailen]].,T Tal o t Pitkern Ailen esa simbol o t ailen,8_20
Ets i' t' korna a' t' flag an haufs mani aspekts as otha Owasiis Teritrii o' t' [[Yunitid Kingdum]].,Ets i t korna a t flag an haufs mani aspekts as otha Owasiis Teritrii o t Yunitid_Kingdum,8_29
Tawaiin es unrekogniised bai [[Shiina]] (Piopel's Repablik o' Shiina).,Tawaiin es unrekogniised bai Shiina,8_26
Kamkii esa willaj i' Yukamenskii Distrikt a' Udmurtiya ([[Rusha]]).,Kamkii esa willaj i Yukamenskii Distrikt a Udmurtiya,8_20
"Plenti o' em werds iin Norfuk es f' [[Inglish]], laik ""[[ailen]]"" ('island') an ""[[tiemsoen]]"" ('timezone').",Plenti o em werds iin Norfuk es f Inglish laik ailen an tiemsoen,8_59
"Norfuk es ekposed t' graeta kontakt an enfluens from Inglish dan [[Pitkern]], alla serias komparison a' t' tu laenghwijes haufs nort biin dan.",Norfuk es ekposed t graeta kontakt an enfluens from Inglish dan Pitkern alla serias komparison a t tu laenghwijes haufs nort biin dan,8_27
"stait loekaytid i' [[Osheania]], t' onlii Y.S.",stait loekaytid i Osheania t onlii YS,8_59
"stait loekaytid outsayd [[North Merika]], an t' onlii wan kompoz'd entirelii o' ailen.",stait loekaytid outsayd North_Merika an t onlii wan kompozd entirelii o ailen,8_26
"Lech Wałęsa (; born 29 Septemba 1943) esa [[Poelish]] politician, trade-union organizer, an human-rights activist.",Lech Wałęsa esa Poelish politician tradeunion organizer an humanrights activist,8_20
"[[A]] motto esa maksim; a frays ment t' formallii summaryz t' mien motiwayshun o entenshun a' a [[sala]], family, soshul gruup o organizayshun.",A motto esa maksim a frays ment t formallii summaryz t mien motiwayshun o entenshun a a sala family soshul gruup o organizayshun,8_28
"[[A]] motto mei b' i' eni laenghiwj, but Latin haufs b'n waidlii yuus'd, espeshulii i' t' Western werl.",A motto mei b i eni laenghiwj but Latin haufs bn waidlii yuusd espeshulii i t Western werl,8_59
"Dem Ailen o' Maan (Manx: Ellan Vannin) esa dapendencii, of dem [[Yunitid Kingdum]].",Dem Ailen o Maan esa dapendencii of dem Yunitid_Kingdum,8_29
Ets riilated t' [[Pitkern kulchur]] a' mien an t' [[Inglish]] an [[Tahityan]] kulchur.,Ets riilated t Pitkern_kulchur a mien an t Inglish an Tahityan kulchur,8_59
Dem Faaro Ailen s' chayn o' ailen i' t' [[Etlantic Oshen]].,Dem Faaro Ailen s chayn o ailen i t Etlantic_Oshen,8_59
Dem ailen es paart o' [[Denmark]].,Dem ailen es paart o Denmark,8_26
Enetomii esa paat o' naachurel saiens o' [[biiolojii]] daa studehs [[laaef]].,Enetomii esa paat o naachurel saiens o biiolojii daa studehs laaef,8_20
Hyuuman enetomii esa saiens daa es emportan' f' [[medisin]].,Hyuuman enetomii esa saiens daa es emportan f medisin,8_20
"Taylor Lautner (barn [[Febyuweri]] 11, 1992) es wun Merikan akter.",Taylor Lautner es wun Merikan akter,8_66
Pesifida ulla Kontenent Mu esa lost kontenent a' t' [[Pesifik Oshen]] (saam piopel dink daa a' t' [[Etlantic Oshen]]).,Pesifida ulla Kontenent Mu esa lost kontenent a t Pesifik_Oshen,8_20
Myuusik esa aart a' kulchur wit sound organiized 'n [[tiem]].,Myuusik esa aart a kulchur wit sound organiized n tiem,8_20
Pitkern cuisiin es t' whettles kulchur a' [[Pitkern Ailen]].,Pitkern cuisiin es t whettles kulchur a Pitkern_Ailen,8_26
"I' [[Kreschen]] kulchur, i' es t' dieh Jesus came back t' life.",I Kreschen kulchur i es t dieh Jesus came back t life,8_26
Wiskonsiin esa Stait o' [[Yunitid Staits o' Merika]].,Wiskonsiin esa Stait o Yunitid_Staits_o_Merika,8_30
Der es tu [[brij]]es t' [[Singapur]] ailen.,Der es tu brijes t Singapur ailen,8_26
"part tracionailli o' Inuit laenghwijs, sech az Inuktitut, spoken i [[Kaneda]], an es b' ebout 54,000 pipal, mor then haf o' t' spikers o' Eskimau-aleution laenghwijs.",part tracionailli o Inuit laenghwijs sech az Inuktitut spoken i Kaneda an es b ebout pipal mor then haf o t spikers o Eskimaualeution laenghwijs,8_31
Ferdinan Emmanyuuel Edraliin Markuus (1917 — 1989) wos t' 10th President a' t' [[Felapiins]].,Ferdinan Emmanyuuel Edraliin Markuus wos t th President a t Felapiins,8_59
"A dorg ([[Inglish]]: ""dog"") es a domestik kriicha.",A dorg es a domestik kriicha,8_26
"En ar sauthen hemisfiya 's miek ap a' [[Maach]], [[Ieprel]] an [[Mieh]].",En ar sauthen hemisfiya s miek ap a Maach Ieprel an Mieh,8_32
T' mijoritii o' Merikan teritri es biitwiin [[Kaneda]] an [[Meksikoe]].,T mijoritii o Merikan teritri es biitwiin Kaneda an Meksikoe,8_66
Antarktida esa dur fifth biges [[kontenent]] wich overli dur Sowth Poel.,Antarktida esa dur fifth biges kontenent wich overli dur Sowth Poel,8_20
Maethamatiks es wun [[saiens]].,Maethamatiks es wun saiens,8_26
It es orlsoe spoken i' [[Suriname]] i' [[Sowth Merika]].,It es orlsoe spoken i Suriname i Sowth Merika,8_26
Saientifik methud esa mien methud a' [[saiens]].,Saientifik methud esa mien methud a saiens,8_20
Ai Sahara es big desert i' [[Afreka]].,Ai Sahara es big desert i Afreka,8_26
"Orn d' north idda Medittaraniyan See, to d' west idda [[Etlantic Oshen]], an to d' east idda Red See.",Orn d north idda Medittaraniyan See to d west idda Etlantic_Oshen an to d east idda Red See,8_59
Kemistrii es a' [[saiens]] 'a em kemikill element 'a em kemikill kompornd.,Kemistrii es a saiens a em kemikill element a em kemikill kompornd,8_26
"Jibrulta ([[Inglish]] an [[Spanish]]: ""Gibraltar"") esa dapendinci o' [[Yunitid Kingdum]] to sowth o' [[Spain]].",Jibrulta esa dapendinci o Yunitid_Kingdum to sowth o Spain,8_29
T' cherch belons to d' Pentecost branch o' [[Kreschenitii]] that emerged dyuuriin' t' yorlii twentieth cenchurii i' t' Yunitid Staits.,T cherch belons to d Pentecost branch o Kreschenitii that emerged dyuuriin t yorlii twentieth cenchurii i t Yunitid Staits,8_33
[[Norfuk Ailen]] setl'd iyas en iyas agoe b' dem salan fram [[Nyuu Ziilan]] abaut 1300–1400 CE.,Norfuk_Ailen setld iyas en iyas agoe b dem salan fram Nyuu Ziilan abaut CE,8_34
T' fas Urupean to lan orn a' ailen was Kaptaan [[James Cook]] in 1774.,T fas Urupean to lan orn a ailen was Kaptaan James_Cook in,8_59
Snell es a [[Pitkern]] descendant.,Snell es a Pitkern descendant,8_26
"Sir Isaac Nyuuton (4 Jaenyuweri 1643 – 31 Maach 1727) wos a’ Inglish fisisist, maethematishen, estronoma, naachurel filosofa, elkemist, en [[thiiolojii]]an.",Sir Isaac Nyuuton wos a ’ Inglish fisisist maethematishen estronoma naachurel filosofa elkemist en thiiolojiian,8_35
"Hiis buuk, t’ ""Philosophiæ Naturalis Principia Mathematic"" (elsa koul'd t’ ""Principia""), pablish'd in 1687, es bin konsaaideriid wan a’ t’ moes enfluwenshal buuks i' t’ histrei a’ [[saiens]].",Hiis buuk t ’ Philosophiæ Naturalis Principia Mathematic pablishd in es bin konsaaideriid wan a ’ t ’ moes enfluwenshal buuks i t ’ histrei a ’ saiens,8_36
"Baunti Dieh esa holidieh i' both [[Pitkern Ailen]], t' destinayshun a' dem HMS ""Bounty"" myuutenias, an a' [[Norfuk Ailen]].",Baunti Dieh esa holidieh i both Pitkern_Ailen t destinayshun a dem HMS Bounty myuutenias an a Norfuk Ailen,8_37
" es d' lemnth manth a' d' iya, d' laas manth a' [[ortam]] en d' laas manth a' [[spring]].",es d lemnth manth a d iya d laas manth a ortam en d laas manth a spring,8_15
North Merika esa [[kontenent]].,North Merika esa kontenent,8_20
Certain kuntriis i' t' [[Medl Eist]] hauf lous daa based on [[Islem]] hauf entapreteyshuns o' t' Qu'ran (Islem's holy buuk) that say a woman must cover her entire body.,Certain kuntriis i t Medl_Eist hauf lous daa based on Islem hauf entapreteyshuns o t Quran that say a woman must cover her entire body,8_38
"T' North Ailen moa ([[Maaori]]: ""Moa o Te Ika a Maui"") es a [[moa]] from t' [[North Ailen]] o' [[Nyuu Ziilan]].",T North Ailen moa es a moa from t North Ailen o Nyuu Ziilan,8_4
"David William Donald Cameron (Oktoeba 9, 1966) waas t' Priim Minista o' t' [[Yunitid Kingdum]].",David William Donald Cameron waas t Priim Minista o t Yunitid_Kingdum,8_29
Elbanyan es spoken in [[Kosawo]] an paats a' t' [[North Masedoenya]] tuu.,Elbanyan es spoken in Kosawo an paats a t North Masedoenya tuu,8_26
" es d' forth manth a' d' iya, d' sekan manth a' [[spring]] en d' sekan manth a' [[ortam]].",es d forth manth a d iya d sekan manth a spring en d sekan manth a ortam,8_15
 <ns>0</ns>  <revision></revision>  <parentid>38858</parentid>  <timestamp>2019-10-28T14:02:45Z</timestamp>  <contributor></contributor>  <username>Coconutic</username>    <model>wikitext</model>  <format>text/x-wiki</format> Swiidish esa [[laenghwij]] i' [[Swiiden]].,nsns revisionrevision parentidparentid timestampTZtimestamp contributorcontributor usernameCoconuticusername modelwikitextmodel formattextxwikiformat Swiidish esa laenghwij i Swiiden,8_39
Erth orvit da [[san]].,Erth orvit da san,8_59
[[A]] Hongi es Maori tradishin weah dem nose i' press from wan said t'aedha.,A Hongi es Maori tradishin weah dem nose i press from wan said taedha,8_26
Arzni ([[Aarmanyan]]: Արզնի; Sirayic: ܐܪܙܢܝ‎; [[Rushan]]: Арзни) esa resort willaj i' t' Kotayk Provins o' [[Aarmanya]] lokatid i' t' Hrazdan canyun.,Arzni esa resort willaj i t Kotayk Provins o Aarmanya lokatid i t Hrazdan canyun,8_20
Et wos foundid durin' t' 19th cenchurii b' dem Assiriiyan Kreschans huu migraytid t' Iistern Aarmanya f' [[Eraan]].,Et wos foundid durin t th cenchurii b dem Assiriiyan Kreschans huu migraytid t Iistern Aarmanya f Eraan,8_40
"Joseph Robinette Biden Jr. ([[Nowemba]] 20, 1942) es t' kurent president o' t' Yunitid Staits.",Joseph Robinette Biden Jr es t kurent president o t Yunitid Staits,8_58
"Et es rilaytd tuu t' thrii otha Meleniijen kreols; [[Bislama]], Solomon Ailens Pijin an Tores Stret Kreol.",Et es rilaytd tuu t thrii otha Meleniijen kreols Bislama Solomon Ailens Pijin an Tores Stret Kreol,8_26
[[Saint Kitts a' Nevis]] a karibiyen ailen kuntriis.,Saint_Kitts_a_Nevis a karibiyen ailen kuntriis,8_59
"T' Estonyan Sports Muusiem esa muusiem o' [[sportii]] i [[Taatu]], [[Estonya]].",T Estonyan Sports Muusiem esa muusiem o sportii i Taatu Estonya,8_20
Korintuu esa toen i' [[Nicaragua]].,Korintuu esa toen i Nicaragua,8_13
Es loekaited betwiin [[Endya]] en Myanmar.,Es loekaited betwiin Endya en Myanmar,8_59
"[[A]] pidginiz'd form es used b' mani [[Indo]]-Fijians an etnik Chinese a' dem ailen, whiil Pidgin Hindustani es used b' mani rural etnik Fijians.",A pidginizd form es used b mani IndoFijians an etnik Chinese a dem ailen whiil Pidgin Hindustani es used b mani rural etnik Fijians,8_41
Zviad Gamsakhurdia (1939-1993) es t' 1th President o' t' [[Jorja]] (1991-1992).,Zviad Gamsakhurdia es t th President o t Jorja,8_26
"However, unlaaek t' [[Yunitid Kingdum]] esa absolyuut monarkii, wit lous es bin basii'd a' [[Islem]].",However unlaaek t Yunitid_Kingdum esa absolyuut monarkii wit lous es bin basiid a Islem,8_29
Dis kuntrii es sityuuaitid i' t’ rijiin kaul’d [[Leten Merika]],Dis kuntrii es sityuuaitid i t ’ rijiin kaul ’ d Leten_Merika,8_26
<br/> [[Pitkern Ailen]] setl'd iyas en iyas agoe b' dem salan f' Baunti on Jaenyuweri 15 in 1790 wi' soom salan [[Tahityan]].,br Pitkern_Ailen setld iyas en iyas agoe b dem salan f Baunti on Jaenyuweri in wi soom salan Tahityan,8_34
"Zernograd ([[Rushan]]: ""Зерноград"") esa toen i' Rostov Oblast i' [[Rusha]], t' populayshun a' 24 886 (2017).",Zernograd esa toen i Rostov Oblast i Rusha t populayshun a,8_57
God (or Gohd) esa hed figa o' dem [[rilijin]].,God esa hed figa o dem rilijin,8_20
Lojik es wun [[saiens]] 'bout form o' valid inferiins.,Lojik es wun saiens bout form o valid inferiins,8_26
T' uni kirk a' t' ailen esa kongregayshun o' t' Sewent Day [[Adventist]] Kirk.,T uni kirk a t ailen esa kongregayshun o t Sewent Day Adventist Kirk,8_20
Et waa a' [[Adventist]] misyun i' dem 1890s daa waa instrumental a' konwerting dem [[Pitkerna]] t' Sewent Day [[Adventism]].,Et waa a Adventist misyun i dem s daa waa instrumental a konwerting dem Pitkerna t Sewent Day Adventism,8_42
"[[A]]' 2000, eight a' dem fortii [[Pitkerna]] a' t' tiem atend'd serwises a' t' kirk regyularlii.",A eight a dem fortii Pitkerna a t tiem atendd serwises a t kirk regyularlii,8_26
"[[A]]' spaait a' daa, most did atend a' speshul okasyuns.",A spaait a daa most did atend a speshul okasyuns,8_59
Es manaj'd b' t' residint [[pastor]] an t' board a' t' kirk.,Es manajd b t residint pastor an t board a t kirk,8_59
T' [[pastor]] serfs a' tuu-iya term.,T pastor serfs a tuuiya term,8_59
"Mani o' dem bildings i' [[Alofi]] wos destroii'd, inkluden t' hospitel.",Mani o dem bildings i Alofi wos destroiid inkluden t hospitel,8_59
"I' t' 1600s, t' [[Duch]] s' wisit Ostrielya north koest, en se miek map o' t' airea.",I t s t Duch s wisit Ostrielya north koest en se miek map o t airea,8_4
"Corbin Bleu Reivers ([[Febyuweri]] 21, 1989, [[Nyuu York]]) es wun Merikan akta an siinga.",Corbin Bleu Reivers es wun Merikan akta an siinga,8_66
"Ben Tre (Vietnamese: ""Thành phố Bến Tre"") esa toen i' [[Wiyetnaam]], en t' prowins o' Ben Tre, i' Mekong Delta.",Ben Tre esa toen i Wiyetnaam en t prowins o Ben Tre i Mekong Delta,8_13
"""Principal citiis: Lagos, Kinshasa, Luanda, Algiers, Casablanca"" Kuntriis i' wich [[UTC+1]] yuus a' t' winta.",Principal citiis Lagos Kinshasa Luanda Algiers Casablanca Kuntriis i wich UTC yuus a t winta,8_43
"""Principal citiis: [[Berlin]], Rome, [[Paris]], [[Madrid]], [[Wienna]], [[Worsaaw]]"" Kuntriis i' wich [[UTC+1]] yuus a' t' sama.",Principal citiis Berlin Rome Paris Madrid Wienna Worsaaw Kuntriis i wich UTC yuus a t sama,8_43
"[[Aarmanya]], [[Barain]], Ejipt, [[Eraak]], [[Eraan]], [[Eserbeyjan]], [[Esrail]], [[Jordan]], [[Jorja]], [[Kataa]], [[Kyuuwait]], [[Lebanon]], [[Omaan]], [[Palestiin]], Saudi Arabia, [[Siipris]], [[Siriya]], [[Turkii]], [[Yemen]], Yunitid Arab Emiraets.",Aarmanya Barain Ejipt Eraak Eraan Eserbeyjan Esrail Jordan Jorja Kataa Kyuuwait Lebanon Omaan Palestiin Saudi Arabia Siipris Siriya Turkii Yemen Yunitid Arab Emiraets,8_44
" es d' nainth manth a' d' iya, d' fas manth a' [[ortam]] en d' fas manth a' [[spring]].",es d nainth manth a d iya d fas manth a ortam en d fas manth a spring,8_15
S' es mein spoeken b' [[Jua]]s an' [[Esrail]]ies.,S es mein spoeken b Juas an Esrailies,8_26
"Plaants, which es tuu kauled griin plaants (Viridiplantae a' [[Leten]]), ar livin multisellular organisms a' t' kingdum Plantae.",Plaants which es tuu kauled griin plaants ar livin multisellular organisms a t kingdum Plantae,8_26
T' Flag o' North Koriya esa a' ofishol symbol o' t' kuntrii o' [[North Koriya]].,T Flag o North Koriya esa a ofishol symbol o t kuntrii o North_Koriya,8_20
Dem Tongan piopel setl'd [[Niue]] i' t' 16th centurii tuu.,Dem Tongan piopel setld Niue i t th centurii tuu,8_59
Kaptaan [[James Cook]] saw t' ailen i' 1774.,Kaptaan James_Cook saw t ailen i,8_59
"Hii gaew t' niem ""Savej [[Ailen]]"" afta lanin' a' t' ailen b'cause t' piopel haed bluud a' dem bodis.",Hii gaew t niem Savej Ailen afta lanin a t ailen bcause t piopel haed bluud a dem bodis,8_59
Hii wos t' fas Urupean a' [[Niue]] tuu.,Hii wos t fas Urupean a Niue tuu,8_59
"[[Robert Rex]], a Urupean an Niuean wos t' fas Premier a' t' kuntrii.",Robert_Rex a Urupean an Niuean wos t fas Premier a t kuntrii,8_59
[[Niue]] haufs a riin roed sistem tat konnekts t' toens o' t' ailen.,Niue haufs a riin roed sistem tat konnekts t toens o t ailen,8_26
[[Niue]] haufs a port tat es yuus'd solii f' ankoraj.,Niue haufs a port tat es yuusd solii f ankoraj,8_26
"Kataloniya (, es en ortonomus komyuunitii o' [[Spain]].",Kataloniya es en ortonomus komyuunitii o Spain,8_26
"Miikrobiologii esa [[saiens]], daa studehs miikroorganism.",Miikrobiologii esa saiens daa studehs miikroorganism,8_20
Esraili Flag esa wan o' em ofishol simbils a' [[Esrail]].,Esraili Flag esa wan o em ofishol simbils a Esrail,8_20
It es riilat'd tuu [[Norfuk]] an [[Pitkern]].,It es riilatd tuu Norfuk an Pitkern,8_26
Dis es b'cause dem Pitkernas setl'd t' ailen wen [[Pitkern Ailen]] b'kam tuu smaal f' t' enkriisin' popyulayshun.,Dis es bcause dem Pitkernas setld t ailen wen Pitkern_Ailen bkam tuu smaal f t enkriisin popyulayshun,8_45
"Norfuk Ailen es i' t' [[Tasman Sii]], paat a' sowth [[Pesifik Oshen]].",Norfuk Ailen es i t Tasman_Sii paat a sowth Pesifik Oshen,8_26
[[Norfuk Ailen]] setl'd iyas en iyas agoe b' dem salan from [[Nyuu Ziilan]] abaut 1300–1400 CE.,Norfuk_Ailen setld iyas en iyas agoe b dem salan from Nyuu Ziilan abaut CE,8_34
Nepeyan Ailen es a letl unenhabited ailen 'bout 1km sowth f' t' gohlf kors on [[Norfuk Ailen]] en t' sowth-west Pesifik.,Nepeyan Ailen es a letl unenhabited ailen bout km sowth f t gohlf kors on Norfuk_Ailen en t sowthwest Pesifik,8_46
"S' reprisent a' aaspekt o' 5/12 o' a' [[sirkil]], a' 150°, bitwiin tuu em objekt.",S reprisent a aaspekt o o a sirkil a ° bitwiin tuu em objekt,8_59
"Hi set'dap a paternalistik, autoritarien reygim tat aktivlii kolaboratid lorngf' [[Doichland]], Vichii's ofishol neutralitii nor lorngf' stanin'.",Hi setdap a paternalistik autoritarien reygim tat aktivlii kolaboratid lorngf Doichland Vichiis ofishol neutralitii nor lorngf stanin,8_47
"T' flag o' Wenezuela ""(""[[Spanish]]: ""La Bandera de la República Bolivariana de Venezuela)"" esa nayshunal symbol o' t [[kuntrii]] [[Wenezuela]].",T flag o Wenezuela esa nayshunal symbol o t kuntrii Wenezuela,8_20
"Galileo Galilei bin wos [[italii]]an fisisist, maethamatisian a' estrominaa.",Galileo Galilei bin wos italiian fisisist maethamatisian a estrominaa,8_59
"Galileo se diskova em Galilean moon, en hi s' diwelip t' [[saientifik methud]].",Galileo se diskova em Galilean moon en hi s diwelip t saientifik_methud,8_59
"Blaadi Bridj ([[Inglish]]: ""Bloody Bridge"") es a bridj en [[Kingston]], [[Norfuk Ailen]].",Blaadi Bridj es a bridj en Kingston Norfuk Ailen,8_26
" es d' ietth manth a' d' iya, en d' laas manth a' [[sama]].",es d ietth manth a d iya en d laas manth a sama,8_15
Sowth Merika esa [[kontenent]].,Sowth Merika esa kontenent,8_20
 <ns>0</ns>  <revision></revision>  <parentid>42802</parentid>  <timestamp>2021-07-17T03:17:36Z</timestamp>  <contributor></contributor>  <ip>101.191.12.183</ip>    <comment>/* Lyst */</comment>  <model>wikitext</model>  <format>text/x-wiki</format> Des es a lyst o' [[Inglish]]-beisd kreol laenghwijs.,nsns revisionrevision parentidparentid timestampTZtimestamp contributorcontributor ipip comment Lyst comment modelwikitextmodel formattextxwikiformat Des es a lyst o Inglishbeisd kreol laenghwijs,8_48
"[[A]] pidjiniz'd form es used b' mani [[Indo]]-Fijians an etnik Chinese a' dem ailen, whiil Pidgin Hindustani es used b' mani rural etnik Fijians.",A pidjinizd form es used b mani IndoFijians an etnik Chinese a dem ailen whiil Pidgin Hindustani es used b mani rural etnik Fijians,8_49
"Tho, ets onli rarlii pronouns'd [[wit]]' a trill'd reliis; t' primarii feachure distinguishin et f' ⟨d⟩ es tat ets postalveolar, [ɳɖ], insteado' dental/alveolar.",Tho ets onli rarlii pronounsd wit a trilld reliis t primarii feachure distinguishin et f ⟨d⟩ es tat ets postalveolar ɳɖ insteado dentalalveolar,8_50
"T' motto a' [[Tokelau]] es ""[[Tokelau]] mo te Atua"", wich miins ""[[Tokelau]] f' t' Almitii.""",T motto a Tokelau es Tokelau mo te Atua wich miins Tokelau f t Almitii,8_26
" es d' tenth manth a' d' iya, d' sekan manth a' [[ortam]] en d' sekan manth a' [[spring]].",es d tenth manth a d iya d sekan manth a ortam en d sekan manth a spring,8_15
"Ai Etlantic Oshen esa bidy o' salt wata betwiien [[Urup]], Antartica an Merika (Sawth an North).",Ai Etlantic Oshen esa bidy o salt wata betwiien Urup Antartica an Merika,8_20
"Ets natiw laenghwij o' dem Moriori, t' endijenus piopel o' dem Chattam Ailen (Moriori: ""Rēkohu"") — an arkipelago o' [[Nyuu Ziilan]], sowth iist o' Nyuu Ziilan's Sowth Ailen.",Ets natiw laenghwij o dem Moriori t endijenus piopel o dem Chattam Ailen — an arkipelago o Nyuu_Ziilan sowth iist o Nyuu Ziilans Sowth Ailen,8_51
Dem Chatham [[Ailen's]] fas Yuripiin kontakt wos lorngf' [[William R. Broughton]] o' t' [[Yunitid Kingdum]] huu lan'd a' 29 Nowemba 1791 an klaim'd dem ailen.,Dem Chatham Ailens fas Yuripiin kontakt wos lorngf William R Broughton o t Yunitid Kingdum huu land a Nowemba an klaimd dem ailen,8_52
"[[Tho]], [[Samuel Deighton]], Resident Magistrate a' dem Chathams f' 1873 t' 1891, complii'd a short wokabyularii o' dem Moriori werd, lorngf' deir ekwiwalents i' Māori an Inglish.",Tho Samuel Deighton Resident Magistrate a dem Chathams f t compliid a short wokabyularii o dem Moriori werd lorngf deir ekwiwalents i Māori an Inglish,8_53
T' enwayshun o' dem Chatham [[Ailen]] left dem Moriori salan an deir kulchur t' dy of.,T enwayshun o dem Chatham Ailen left dem Moriori salan an deir kulchur t dy of,8_26
"T' laenghwij wos riimeik'd f' [[Barry Barclay's]] 2000 film dokumentarii ""T' Featas o' Piis"", i' a riimeikin o' Moriori kontakt lorngf' Pākehā an Māori.",T laenghwij wos riimeikd f Barry_Barclays film dokumentarii T Featas o Piis i a riimeikin o Moriori kontakt lorngf Pākehā an Māori,8_54
"T' 2006 [[Nyuu Ziilan]] sens's show'd 945 salan choosin t' include ""Moriori"" amonst deya traib'l affiliayshuns, compar'd t' 35 salan i' t' 1901 sens's.",T Nyuu_Ziilan senss showd salan choosin t include Moriori amonst deya traibl affiliayshuns compard t salan i t senss,8_55
"Skotish laenghwij inflyuuens o' t' Norfuk laenghwij es nor musa big, buthh et iksiists said 2 o' t' ""HMS Baunti"" matiniis kaem from [[Skotlund]].",Skotish laenghwij inflyuuens o t Norfuk laenghwij es nor musa big buthh et iksiists said o t HMS Baunti matiniis kaem from Skotlund,8_56
"Gukovo ([[Rushan]]: ""Гуково"") esa toen i' Rostov Oblast i' [[Rusha]], t' populayshun a' 66 332 (2017).",Gukovo esa toen i Rostov Oblast i Rusha t populayshun a,8_57
"I' es neiimed aafta Nyuucastle-upon-Tyne, a citii i' [[Ingland]].",I es neiimed aafta NyuucastleuponTyne a citii i Ingland,8_26
Esa [[dapendincii]] a' [[Denmark]].,Esa dapendincii a Denmark,8_59
"Es ner [[Kaneda]], Yunitid Staits a' [[Iseland]].",Es ner Kaneda Yunitid Staits a Iseland,8_58
Griinland es setl'd iyas en iyas agoe b' dem Vikings f' [[Norwaii]] abaut 900 CE.,Griinland es setld iyas en iyas agoe b dem Vikings f Norwaii abaut CE,8_34
"Jesus (also Jesus o' Nasarith), esa biges figur i' [[kreschenitii]].",Jesus esa biges figur i kreschenitii,8_20
"T' jiografiikel sentaa o' Pinsk es a' 186 km west a' Brest, an' a' 304 km sowthiist a' [[Minsk]].",T jiografiikel sentaa o Pinsk es a km west a Brest an a km sowthiist a Minsk,8_59
Tiemsoen a' [[Pinsk]] es ([[Minsk]] [[Tiem]]).,Tiemsoen a Pinsk es,8_59
"Mansaala ([[Erabek]]: بحيرة المنزلة‎ ""baḥīrat manzala"") esa brekish laek i' t' north paat o' [[Ejiipt]], a' t' Niil Delta, neya Port-Sayid.",Mansaala esa brekish laek i t north paat o Ejiipt a t Niil Delta neya PortSayid,8_20
